name,year,team,position
John Bunting,1994,Kansas City Chiefs,Defensive Assistant
Darvin Wallis,1994,Kansas City Chiefs,Defensive Assistant/Quality Control
Kurt Schottenheimer,1994,Kansas City Chiefs,Tight Ends/Special Teams
Dave Redding,1994,Kansas City Chiefs,Strength And Conditioning
Russ Ball,1994,Kansas City Chiefs,Assistant Strength And Conditioning
Art Shell,1994,Los Angeles Raiders,Head Coach
Tom Walsh,1994,Los Angeles Raiders,Offense
Jack Reilly,1994,Los Angeles Raiders,Offensive Backs
Fred Biletnikoff,1994,Los Angeles Raiders,Wide Receivers
Bob Mischak,1994,Los Angeles Raiders,Tight Ends
Bill Meyers,1994,Los Angeles Raiders,Offensive Line
Mike White,1994,Los Angeles Raiders,Offensive Line
John Fox,1994,Los Angeles Raiders,Defense
Gunther Cunningham,1994,Los Angeles Raiders,Defensive Line
Ray Hamilton,1994,Los Angeles Raiders,Defensive Line
Jim Haslett,1994,Los Angeles Raiders,Linebackers
Odis McKinney,1994,Los Angeles Raiders,Defensive Backs
Jack Stanton,1994,Los Angeles Raiders,Defensive Backs
Steve Ortmayer,1994,Los Angeles Raiders,Special Teams
Doug Wilkerson,1994,Los Angeles Raiders,Strength And Conditioning
Jack Faulkner,1994,Los Angeles Rams,Administrator Of Football Operations
Joe Vitt,1994,Los Angeles Rams,Assistant Head Coach/Safeties
Mike Martz,1994,Los Angeles Rams,Quarterbacks
Steve Moore,1994,Los Angeles Rams,Wide Receivers
Rennie Simmons,1994,Los Angeles Rams,Tight Ends
Jim Erkenbeck,1994,Los Angeles Rams,Offensive Line
Chuck Knox Jr,1994,Los Angeles Rams,Offensive Assistant
Dick Selcer,1994,Los Angeles Rams,Linebackers
Rod Perry,1994,Los Angeles Rams,Defensive Backs
Greg Gaines,1994,Los Angeles Rams,Defensive Assistant
Wayne Sevier,1994,Los Angeles Rams,Special Teams
Chris Clausen,1994,Los Angeles Rams,Strength And Conditioning
Joel Collier,1994,Miami Dolphins,Staff Assistant
Don Shula,1994,Miami Dolphins,Head Coach
Gary Stevens,1994,Miami Dolphins,Offense/Quarterbacks
Tony Nathan,1994,Miami Dolphins,Offensive Backs
Larry Seiple,1994,Miami Dolphins,Wide Receivers
