name,year,team,position
Matt Simon,2000,Baltimore Ravens,Running Backs
Milt Jackson,2000,Baltimore Ravens,Wide Receivers
Jim Colletto,2000,Baltimore Ravens,Offensive Line
Wade Harman,2000,Baltimore Ravens,Tight Ends/Assistant Offensive Line
Rex Ryan,2000,Baltimore Ravens,Defensive Line
Mike Smith,2000,Baltimore Ravens,Defensive Assistant &Amp; Defensive Line Coach
Jack Del Rio,2000,Baltimore Ravens,Linebackers
Donnie Henderson,2000,Baltimore Ravens,Assistant Defensive Backs Coach
Russ Purnell,2000,Baltimore Ravens,Special Teams
Jeff Friday,2000,Baltimore Ravens,Strength And Conditioning
Chip Morton,2000,Baltimore Ravens,Assistant Strength And Conditioning
Turk Schonert,2000,Buffalo Bills,Quarterbacks
James Saxon,2000,Buffalo Bills,Running Backs
Charlie Joiner,2000,Buffalo Bills,Wide Receivers
Max Bowman,2000,Buffalo Bills,Tight Ends
Carl Mauck,2000,Buffalo Bills,Offensive Line
Chris Dickson,2000,Buffalo Bills,Offensive Quality Control
John Levra,2000,Buffalo Bills,Defensive Line
Chuck Lester,2000,Buffalo Bills,Linebackers
Bill Bradley,2000,Buffalo Bills,Defensive Backs
Ronnie Jones,2000,Buffalo Bills,Special Teams
George Seifert,2000,Carolina Panthers,Head Coach
Richard Williamson,2000,Carolina Panthers,Assistant Head Coach-Offense/Wide Receivers
Chick Harris,2000,Carolina Panthers,Running Backs
Don Breaux,2000,Carolina Panthers,Tight Ends
Tony Wise,2000,Carolina Panthers,Offensive Line
Mike McCoy,2000,Carolina Panthers,Offensive Assistant/Quarterbacks
Greg Roman,2000,Carolina Panthers,Offensive Assistant
Jacob Burney,2000,Carolina Panthers,Defensive Line
Sam Mills,2000,Carolina Panthers,Linebackers
Carlos Mainord,2000,Carolina Panthers,Defensive Backs/Secondary
Alvin Reynolds,2000,Carolina Panthers,Defensive Assistant
Scott O'Brien,2000,Carolina Panthers,Special Teams
Darrin Simmons,2000,Carolina Panthers,Assistant Special Teams/Assistant Strength And Conditioning
Jerry Simmons,2000,Carolina Panthers,Strength And Conditioning
Chris Palmer,2000,Cleveland Browns,Head Coach
John Hufnagel,2000,Cleveland Browns,Quarterbacks
Ray Perkins,2000,Cleveland Browns,Running Backs
Jerry Butler,2000,Cleveland Browns,Wide Receivers
Tony Sparano,2000,Cleveland Browns,Offensive Line
Pete Carmichael Jr,2000,Cleveland Browns,Offensive Assistant/Tight Ends
Keith Butler,2000,Cleveland Browns,Linebackers
Jerry Holmes,2000,Cleveland Browns,Defensive Backs
Jon Fabris,2000,Cleveland Browns,Defensive Assistant/Special Teams Assistant
Mike Pitts,2000,Cleveland Browns,Defensive Assistant
Mark Michaels,2000,Cleveland Browns,Special Teams
Jon Fabris,2000,Cleveland Browns,Defensive Assistant/Special Teams Assistant
Tim Jorgensen,2000,Cleveland Browns,Strength
Joe Kim,2000,Cleveland Browns,Assistant Strength
Mike Shanahan,2000,Denver Broncos,Head Coach
Alex Gibbs,2000,Denver Broncos,Assistant Head Coach/Offensive Line
Bobby Turner,2000,Denver Broncos,Running Backs
Karl Dorrell,2000,Denver Broncos,Wide Receivers
Brian Pariani,2000,Denver Broncos,Tight Ends
Pat McPherson,2000,Denver Broncos,Offensive Assistant
George Dyer,2000,Denver Broncos,Defensive Line
Larry Coyer,2000,Denver Broncos,Linebackers
Ron Milus,2000,Denver Broncos,Defensive Backs
Frank Bush,2000,Denver Broncos,Defensive Backs/Secondary/Nickel Package
Terry Tumey,2000,Denver Broncos,Defensive Assistant
John Teerlinck,2000,Denver Broncos,Pass Rush Specialist
Rick Dennison,2000,Denver Broncos,Special Teams
Anthony Lynn,2000,Denver Broncos,Assistant Special Teams/Offensive Assistant
Rich Tuten,2000,Denver Broncos,Strength And Conditioning
Greg Saporta,2000,Denver Broncos,Assistant Strength And Conditioning
Bobby Ross,2000,Detroit Lions,Head Coach
Jim Zorn,2000,Detroit Lions,Quarterbacks
Frank Falks,2000,Detroit Lions,Running Backs
Jerry Sullivan,2000,Detroit Lions,Wide Receivers
Danny Smith,2000,Detroit Lions,Tight Ends
Golden Pat Ruel,2000,Detroit Lions,Offensive Line
Stan Kwan,2000,Detroit Lions,Offensive Assistant/Special Teams Assistant
John Misciagna,2000,Detroit Lions,Quality Control/Offense
Brian Baker,2000,Detroit Lions,Defensive Line
Gary Moeller,2000,Detroit Lions,Linebackers
Richard Selcer,2000,Detroit Lions,Defensive Backs
Don Clemons,2000,Detroit Lions,Defensive Assistant
Dennis Murphy,2000,Detroit Lions,Quality Control/Defense
Chuck Priefer,2000,Detroit Lions,Special Teams
Bert Hill,2000,Detroit Lions,Strength And Conditioning
Rob Graf,2000,Detroit Lions,Assistant Strength And Conditioning
Mike Sherman,2000,Green Bay Packers,Head Coach
Kippy Brown,2000,Green Bay Packers,Running Backs
Ray Sherman,2000,Green Bay Packers,Wide Receivers
Jeff Jagodzinski,2000,Green Bay Packers,Tight Ends
Larry Beightol,2000,Green Bay Packers,Offensive Line
Rich McGeorge,2000,Green Bay Packers,Assistant Offensive Line
Darrell Bevell,2000,Green Bay Packers,Offensive Assistant/Quality Control
Trent Miles,2000,Green Bay Packers,Offensive Assistant/Quality Control
Jethro Franklin,2000,Green Bay Packers,Defensive Line
Bo Pelini,2000,Green Bay Packers,Linebackers
Bob Slowik,2000,Green Bay Packers,Defensive Backs
Lionel Washington,2000,Green Bay Packers,Assistant Defensive Backs
Billy Davis,2000,Green Bay Packers,Defensive Assistant/Quality Control
Frank Novak,2000,Green Bay Packers,Special Teams
Barry Rubin,2000,Green Bay Packers,Strength And Conditioning
Mark Lovat,2000,Green Bay Packers,Strength And Conditioning Assistant
Jim E Mora,2000,Indianapolis Colts,Head Coach
George Catavolos,2000,Indianapolis Colts,Assistant Head Coach/Defensive Backs
Bruce Arians,2000,Indianapolis Colts,Quarterbacks
Gene Huey,2000,Indianapolis Colts,Running Backs
Jay Norvell,2000,Indianapolis Colts,Receivers
Tony Marciano,2000,Indianapolis Colts,Tight Ends
Howard Mudd,2000,Indianapolis Colts,Offensive Line
Todd Grantham,2000,Indianapolis Colts,Defensive Line
Mike Murphy,2000,Indianapolis Colts,Linebackers
George Catavolos,2000,Indianapolis Colts,Assistant Head Coach/Defensive Backs
John Pagano,2000,Indianapolis Colts,Defensive Assistant
Kevin Spencer,2000,Indianapolis Colts,Special Teams
Jon Torine,2000,Indianapolis Colts,Strength And Conditioning
Richard Howell,2000,Indianapolis Colts,Assistant Strength And Conditioning
Tom Coughlin,2000,Jacksonville Jaguars,Head Coach
Bobby Petrino,2000,Jacksonville Jaguars,Quarterbacks
Jerald Ingram,2000,Jacksonville Jaguars,Running Backs
John McNulty,2000,Jacksonville Jaguars,Wide Receivers
Fred Hoaglin,2000,Jacksonville Jaguars,Tight Ends
Mike Maser,2000,Jacksonville Jaguars,Offensive Line
Garrick McGee,2000,Jacksonville Jaguars,Offensive Quality Control
John Pease,2000,Jacksonville Jaguars,Defensive Line
Steve Szabo,2000,Jacksonville Jaguars,Inside Linebackers
Lucious Selmon,2000,Jacksonville Jaguars,Outside Linebackers
Perry Fewell,2000,Jacksonville Jaguars,Secondary
Lane Kiffin,2000,Jacksonville Jaguars,Defensive Quality Control
John Bonamego,2000,Jacksonville Jaguars,Assistant Special Teams
Jerry Palmieri,2000,Jacksonville Jaguars,Strength And Conditioning
Greg Finnegan,2000,Jacksonville Jaguars,Assistant Strength And Conditioning
Gunther Cunningham,2000,Kansas City Chiefs,Head Coach
Willie Shaw,2000,Kansas City Chiefs,Assistant Head Coach/Defensive Backs
Tom Clements,2000,Kansas City Chiefs,Quarterbacks
Al Lavan,2000,Kansas City Chiefs,Running Backs
Richard Mann,2000,Kansas City Chiefs,Wide Receivers
Keith Rowen,2000,Kansas City Chiefs,Tight Ends
Mike Solari,2000,Kansas City Chiefs,Offensive Line
Jim Hostler,2000,Kansas City Chiefs,Offensive Assistant/Quality Control
Bob Karmelowicz,2000,Kansas City Chiefs,Defensive Line
Tom Pratt,2000,Kansas City Chiefs,Assistant Defensive Line
Joe Vitt,2000,Kansas City Chiefs,Linebackers
Darvin Wallis,2000,Kansas City Chiefs,Defensive Assistant/Quality Control
Mike Stock,2000,Kansas City Chiefs,Special Teams
Jeff Hurd,2000,Kansas City Chiefs,Strength And Conditioning
Jeff Fish,2000,Kansas City Chiefs,Assistant Strength And Conditioning
Dave Wannstedt,2000,Miami Dolphins,Head Coach
Mike Shula,2000,Miami Dolphins,Quarterbacks
Joel Collier,2000,Miami Dolphins,Running Backs
Robert Ford,2000,Miami Dolphins,Wide Receivers
Pat Jones,2000,Miami Dolphins,Tight Ends
Paul Boudreau,2000,Miami Dolphins,Offensive Line
Judd Garrett,2000,Miami Dolphins,Offensive Assistant
Clarence Brooks,2000,Miami Dolphins,Defensive Line
Robert Nunn,2000,Miami Dolphins,Assistant Defensive Line/Defensive Assistant
Randy Shannon,2000,Miami Dolphins,Linebackers
Mel Phillips,2000,Miami Dolphins,Secondary
Bill Lewis,2000,Miami Dolphins,Defensive Nickel Package
Mike Westhoff,2000,Miami Dolphins,Special Teams
Doug Blevins,2000,Miami Dolphins,Kicking
John Gamble,2000,Miami Dolphins,Strength And Conditioning
Brad Roll,2000,Miami Dolphins,Assistant Strength And Conditioning
Dennis Green,2000,Minnesota Vikings,Head Coach
Richard Solomon,2000,Minnesota Vikings,Assistant Head Coach/Defensive Backs
Alex Wood,2000,Minnesota Vikings,Quarterbacks
Carl Hargrave,2000,Minnesota Vikings,Running Backs
Charlie Baggett,2000,Minnesota Vikings,Wide Receivers
John Tice,2000,Minnesota Vikings,Tight Ends
Mike Tice,2000,Minnesota Vikings,Offensive Line
Dean Dalton,2000,Minnesota Vikings,Quality Control Offense
Fred von Appen,2000,Minnesota Vikings,Defensive Line
Trent Walters,2000,Minnesota Vikings,Inside Linebackers
John Fontes,2000,Minnesota Vikings,Outside Linebackers
Chuck Knox Jr,2000,Minnesota Vikings,Quality Control Defense
Gary Zauner,2000,Minnesota Vikings,Special Teams
Steve Wetzel,2000,Minnesota Vikings,Strength And Conditioning
Daryl Lawrence,2000,Minnesota Vikings,Assistant Strength And Conditioning
Bill Belichick,2000,New England Patriots,Head Coach
Dante Scarnecchia,2000,New England Patriots,Assistant Head Coach/Offensive Line
Dick Rehbein,2000,New England Patriots,Quarterbacks
Ivan Fears,2000,New England Patriots,Wide Receivers
Jeff Davidson,2000,New England Patriots,Assistant Offensive Line
Ned Burke,2000,New England Patriots,Coaching Assistant
Randy Melvin,2000,New England Patriots,Defensive Line
Rob Ryan,2000,New England Patriots,Linebackers
Pepper Johnson,2000,New England Patriots,Assistant Linebackers
Eric Mangini,2000,New England Patriots,Defensive Backs
DeWayne Walker,2000,New England Patriots,Defensive Assistant
Brian Daboll,2000,New England Patriots,Coaching Assistant
Brad Seely,2000,New England Patriots,Special Teams
Mark Jackson,2000,New England Patriots,Special Teams Coaching Assistant
Mike Woicik,2000,New England Patriots,Strength And Conditioning
Markus Paul,2000,New England Patriots,Assistant Strength And Conditioning
Jim Haslett,2000,New Orleans Saints,Head Coach
Rick Venturi,2000,New Orleans Saints,Assistant Head Coach/Secondary
Frank Cignetti Jr,2000,New Orleans Saints,Quarterbacks
Dave Atkins,2000,New Orleans Saints,Running Backs
Hubbard Alexander,2000,New Orleans Saints,Wide Receivers
Bob Palcic,2000,New Orleans Saints,Tight Ends
Jack Henry,2000,New Orleans Saints,Offensive Line
Phil Pettey,2000,New Orleans Saints,Offensive Assistant/Quality Control
Sam Clancy,2000,New Orleans Saints,Defensive Line
John Bunting,2000,New Orleans Saints,Linebackers
Joe Baker,2000,New Orleans Saints,Secondary Assistant/Special Teams Assistant
Winston Moss,2000,New Orleans Saints,Defensive Assistant/Quality Control
Al Everest,2000,New Orleans Saints,Special Teams
Joe Baker,2000,New Orleans Saints,Secondary Assistant/Special Teams Assistant
Rock Gullickson,2000,New Orleans Saints,Strength And Conditioning
Evan Marcus,2000,New Orleans Saints,Assistant Strength And Conditioning
Jim Fassel,2000,New York Giants,Head Coach
Mike Gillhamer,2000,New York Giants,Running Backs
Jimmy Robinson,2000,New York Giants,Wide Receivers
Mike Pope,2000,New York Giants,Tight Ends
Jim McNally,2000,New York Giants,Offensive Line
Denny Marcin,2000,New York Giants,Defensive Line
Tom Olivadotti,2000,New York Giants,Linebackers
Johnnie Lynn,2000,New York Giants,Defensive Backs
Dave Brazil,2000,New York Giants,Defensive Quality Control
Larry Mac Duff,2000,New York Giants,Special Teams
John Dunn,2000,New York Giants,Strength And Conditioning
Craig Stoddard,2000,New York Giants,Assistant Strength And Conditioning
Al Groh,2000,New York Jets,Head Coach
Maurice Carthon,2000,New York Jets,Running Backs
Todd Haley,2000,New York Jets,Wide Receivers
Ken Whisenhunt,2000,New York Jets,Tight Ends
Bill Muir,2000,New York Jets,Offensive Line
William Roberts,2000,New York Jets,Assistant Offensive Line
Ray Hamilton,2000,New York Jets,Defensive Line
Bob Sutton,2000,New York Jets,Linebackers
Todd Bowles,2000,New York Jets,Secondary
Mike Sweatman,2000,New York Jets,Special Teams
John Lott,2000,New York Jets,Strength And Conditioning
Jon Gruden,2000,Oakland Raiders,Head Coach
Paul Kelly,2000,Oakland Raiders,Coaches’ Assistant
Gary Stevens,2000,Oakland Raiders,Quarterbacks
Skip Peete,2000,Oakland Raiders,Running Backs
Fred Biletnikoff,2000,Oakland Raiders,Wide Receivers
Jim Erkenbeck,2000,Oakland Raiders,Tight Ends
John Morton,2000,Oakland Raiders,Offensive Quality Control
David Shaw,2000,Oakland Raiders,Quality Control
Mike Waufle,2000,Oakland Raiders,Defensive Line
Robin Ross,2000,Oakland Raiders,Linebackers
Ron Lynn,2000,Oakland Raiders,Defensive Backs
Woodrow Lowe,2000,Oakland Raiders,Defensive Assistant
Don Martin,2000,Oakland Raiders,Defensive Quality Control
Bob Casullo,2000,Oakland Raiders,Special Teams
Garrett Giemont,2000,Oakland Raiders,Strength And Conditioning
Andy Reid,2000,Philadelphia Eagles,Head Coach
Sean McDermott,2000,Philadelphia Eagles,Assistant To The Head Coach
Brad Childress,2000,Philadelphia Eagles,Quarterbacks
Ted Williams,2000,Philadelphia Eagles,Running Backs
David Culley,2000,Philadelphia Eagles,Wide Receivers
Pat Shurmur,2000,Philadelphia Eagles,Tight Ends/Offensive Line
Juan Castillo,2000,Philadelphia Eagles,Offensive Line
Tom Melvin,2000,Philadelphia Eagles,Offensive Assistant/Quality Control
Tommy Brasher,2000,Philadelphia Eagles,Defensive Line
Ron Rivera,2000,Philadelphia Eagles,Linebackers
Leslie Frazier,2000,Philadelphia Eagles,Defensive Backs
Steve Spagnuolo,2000,Philadelphia Eagles,Defensive Assistant
Rick Burkholder,2000,Philadelphia Eagles,Head Athletic Trainer
Mike Wolf,2000,Philadelphia Eagles,Strength And Conditioning
Tom Kanavy,2000,Philadelphia Eagles,Assistant Strength And Conditioning
Chris DiSanto,2000,Philadelphia Eagles,Volunteer Assistant Strength And Conditioning
Eric Sugarman,2000,Philadelphia Eagles,Assistant Trainer
Mike Riley,2000,San Diego Chargers,Head Coach
Joe Bugel,2000,San Diego Chargers,Offensive Supervisor/Offensive Line
Mike Johnson,2000,San Diego Chargers,Quarterbacks
Ollie Wilson,2000,San Diego Chargers,Running Backs
Mike Sanford,2000,San Diego Chargers,Wide Receivers
Paul Chryst,2000,San Diego Chargers,Tight Ends
DelVaughn Alexander,2000,San Diego Chargers,Offensive Assistant/Quality Control
Wayne Nunnely,2000,San Diego Chargers,Defensive Line
Jim Vechiarella,2000,San Diego Chargers,Linebackers
Rod Perry,2000,San Diego Chargers,Defensive Backs
Mark Banker,2000,San Diego Chargers,Defensive Assistant/Secondary
Andrew McClave,2000,San Diego Chargers,Defensive Assistant/Quality Control
Bruce Read,2000,San Diego Chargers,Special Teams
John Hastings,2000,San Diego Chargers,Strength And Conditioning
Mike Schleelein,2000,San Diego Chargers,Assistant Strength And Conditioning
Steve Mariucci,2000,San Francisco 49ers,Head Coach
Greg Knapp,2000,San Francisco 49ers,Quarterbacks
Tom Rathman,2000,San Francisco 49ers,Running Backs
George Stewart,2000,San Francisco 49ers,Wide Receivers
Tom Batta,2000,San Francisco 49ers,Tight Ends
Patrick Morris,2000,San Francisco 49ers,Offensive Line
Andy Sugarman,2000,San Francisco 49ers,Offensive Assistant
Dwaine Board,2000,San Francisco 49ers,Defensive Line
Richard Smith,2000,San Francisco 49ers,Linebackers
Brett Maxie,2000,San Francisco 49ers,Assistant Secondary
Chris Beake,2000,San Francisco 49ers,Defensive Assistant
Joe Barry,2000,San Francisco 49ers,Defensive Quality Control
Bruce DeHaven,2000,San Francisco 49ers,Special Teams
Mike Holmgren,2000,Seattle Seahawks,Head Coach
Tom Lovat,2000,Seattle Seahawks,Assistant Head Coach/Offensive Line
Mike Sheppard,2000,Seattle Seahawks,Quarterbacks
Stump Mitchell,2000,Seattle Seahawks,Running Backs
Nolan Cromwell,2000,Seattle Seahawks,Wide Receivers
Jim Lind,2000,Seattle Seahawks,Tight Ends
Jerry Colquitt,2000,Seattle Seahawks,Offensive Quality Control
Larry Brooks,2000,Seattle Seahawks,Defensive Line
Ken Flajole,2000,Seattle Seahawks,Linebackers
Dick Roach,2000,Seattle Seahawks,Defensive Backs
Clayton Lopez,2000,Seattle Seahawks,Defensive Quality Control
Johnny Holland,2000,Seattle Seahawks,Assistant Special Teams/Assistant Strength And Conditioning
Kent Johnston,2000,Seattle Seahawks,Strength And Conditioning
Johnny Holland,2000,Seattle Seahawks,Assistant Special Teams/Assistant Strength And Conditioning
Rod Springer,2000,Seattle Seahawks,Assistant Strength And Conditioning
Mike Martz,2000,St. Louis Rams,Head Coach
Al Saunders,2000,St. Louis Rams,"Associate Head Coach,Wide Receivers"
John Matsko,2000,St. Louis Rams,"Assistant Head Coach,Offensive Line"
John Ramsdell,2000,St. Louis Rams,Quarterbacks
Wilbert Montgomery,2000,St. Louis Rams,Tight Ends
Jim Hanifan,2000,St. Louis Rams,Offensive Line
Ken Zampese,2000,St. Louis Rams,Offensive Assistant
Carl Hairston,2000,St. Louis Rams,Defensive Line
Mike Haluchak,2000,St. Louis Rams,Linebackers
Steve Brown,2000,St. Louis Rams,Secondary
Sam Clark,2000,St. Louis Rams,Defensive Assistant
Howard Tippett,2000,St. Louis Rams,Defensive Assistant
Larry Pasquale,2000,St. Louis Rams,Special Teams
Chris Clausen,2000,St. Louis Rams,Strength And Conditioning
Dana LeDuc,2000,St. Louis Rams,Strength And Conditioning
Tony Dungy,2000,Tampa Bay Buccaneers,Head Coach
Herman Edwards,2000,Tampa Bay Buccaneers,Assistant Head Coach/Defensive Backs
Clyde Christensen,2000,Tampa Bay Buccaneers,Quarterbacks
Tony Nathan,2000,Tampa Bay Buccaneers,Running Backs
Charlie Williams,2000,Tampa Bay Buccaneers,Wide Receivers
Ricky Thomas,2000,Tampa Bay Buccaneers,Tight Ends
Chris Foerster,2000,Tampa Bay Buccaneers,Offensive Line
Wendell Avery,2000,Tampa Bay Buccaneers,Offensive Assistant
Rod Marinelli,2000,Tampa Bay Buccaneers,Defensive Line
Lovie Smith,2000,Tampa Bay Buccaneers,Linebackers
Kevin O'Dea,2000,Tampa Bay Buccaneers,Defensive Assistant
Joe Marciano,2000,Tampa Bay Buccaneers,Special Teams
Mark Asanovich,2000,Tampa Bay Buccaneers,Strength And Conditioning
Les Ebert,2000,Tampa Bay Buccaneers,Assistant Strength And Conditioning
George Henshaw,2000,Tennessee Titans,Assistant Head Coach/Offense
Sherman Smith,2000,Tennessee Titans,Running Backs
Steve Walters,2000,Tennessee Titans,Wide Receivers
Mike Munchak,2000,Tennessee Titans,Offensive Line
Craig Johnson,2000,Tennessee Titans,Offensive Assistant/Quality Control
Jim Washburn,2000,Tennessee Titans,Defensive Line
Jim Schwartz,2000,Tennessee Titans,Linebackers/Third Down Package
Jerry Gray,2000,Tennessee Titans,Defensive Backs
Ronnie Vinklarek,2000,Tennessee Titans,Defensive Assistant/Quality Control
Alan Lowry,2000,Tennessee Titans,Special Teams
Steve Watterson,2000,Tennessee Titans,Strength And Conditioning
Norv Turner,2000,Washington Redskins,Head Coach
Rich Olson,2000,Washington Redskins,Quarterbacks
Kirby Wilson,2000,Washington Redskins,Running Backs
Pat Flaherty,2000,Washington Redskins,Tight Ends
Russ Grimm,2000,Washington Redskins,Offensive Line
Jason Verduzco,2000,Washington Redskins,Offensive Assistant
Rubin Carter,2000,Washington Redskins,Defensive Line
Mike Trgovac,2000,Washington Redskins,Defensive Line
Foge Fazio,2000,Washington Redskins,Linebackers
Ron Meeks,2000,Washington Redskins,Defensive Backs
Kirk Olivadotti,2000,Washington Redskins,Defensive Assistant
LeCharls McDaniel,2000,Washington Redskins,Special Teams
Dan Riley,2000,Washington Redskins,Strength
Dave McGinnis,2001,Arizona Cardinals,Head Coach
Geep Chryst,2001,Arizona Cardinals,Quarterbacks
Johnny Roland,2001,Arizona Cardinals,Running Backs
Jerry Sullivan,2001,Arizona Cardinals,Wide Receivers
Pete Hoener,2001,Arizona Cardinals,Tight Ends
George Warhop,2001,Arizona Cardinals,Offensive Line
Mike Devlin,2001,Arizona Cardinals,Assistant Offensive Line/Offensive Quality Control
Joe Greene,2001,Arizona Cardinals,Defensive Line
Jeff FitzGerald,2001,Arizona Cardinals,Linebackers
Kevin Ramsey,2001,Arizona Cardinals,Defensive Backs
Hank Kuhlmann,2001,Arizona Cardinals,Special Teams
Stan Kwan,2001,Arizona Cardinals,Special Teams Assistant/Defensive Quality Control
Bob Rogucki,2001,Arizona Cardinals,Strength And Conditioning
Jack Burns,2001,Atlanta Falcons,Quarterbacks
Gary Stevens,2001,Atlanta Falcons,Wide Receivers
James Daniel,2001,Atlanta Falcons,Tight Ends
Pete Mangurian,2001,Atlanta Falcons,Offensive Line
Rennie Simmons,2001,Atlanta Falcons,Assistant Offensive Line
Ed West,2001,Atlanta Falcons,Offensive Quality Control
Bill Johnson,2001,Atlanta Falcons,Defensive Line
Billy Davis,2001,Atlanta Falcons,Linebackers
Greg Brown,2001,Atlanta Falcons,Secondary
Thom Kaumeyer,2001,Atlanta Falcons,Defensive Quality Control
Joe DeCamillis,2001,Atlanta Falcons,Special Teams
Al Miller,2001,Atlanta Falcons,Strength And Conditioning
Rocky Colburn,2001,Atlanta Falcons,Assistant Strength And Conditioning
Brian Billick,2001,Baltimore Ravens,Head Coach
Steve Shafer,2001,Baltimore Ravens,Assistant Head Coach/Secondary
Matt Simon,2001,Baltimore Ravens,Running Backs
Mike Nolan,2001,Baltimore Ravens,Wide Receivers
Wade Harman,2001,Baltimore Ravens,Tight Ends/Assistant Offensive Line
Jim Colletto,2001,Baltimore Ravens,Offensive Line
Rex Ryan,2001,Baltimore Ravens,Defensive Line
Jack Del Rio,2001,Baltimore Ravens,Linebackers
Donnie Henderson,2001,Baltimore Ravens,Secondary
Mike Smith,2001,Baltimore Ravens,Defensive Assistant/Defensive Line
Russ Purnell,2001,Baltimore Ravens,Special Teams
Bennie Thompson,2001,Baltimore Ravens,Special Teams Assistant
Jeff Friday,2001,Baltimore Ravens,Strength And Conditioning
Chip Morton,2001,Baltimore Ravens,Assistant Strength And Conditioning
Gregg Williams,2001,Buffalo Bills,Head Coach
Steve Kragthorpe,2001,Buffalo Bills,Quarterbacks
Steve Fairchild,2001,Buffalo Bills,Running Backs
Fred Graves,2001,Buffalo Bills,Wide Receivers
Dan Neal,2001,Buffalo Bills,Tight Ends
Ronnie Vinklarek,2001,Buffalo Bills,Offensive Line
Tommy Kaiser,2001,Buffalo Bills,Offensive Assistant/Special Teams Assistant
John Levra,2001,Buffalo Bills,Defensive Line
Miles Aldridge,2001,Buffalo Bills,Linebackers
Pat Thomas,2001,Buffalo Bills,Defensive Backs
Steve Jackson,2001,Buffalo Bills,Assistant Defensive Backs/Third Down Specialist
Chuck Lester,2001,Buffalo Bills,Defensive Assistant
Danny Smith,2001,Buffalo Bills,Special Teams
Tommy Kaiser,2001,Buffalo Bills,Offensive Assistant/Special Teams Assistant
George Seifert,2001,Carolina Panthers,Head Coach
Turk Schonert,2001,Carolina Panthers,Quarterbacks
Chick Harris,2001,Carolina Panthers,Running Backs
Mike McCoy,2001,Carolina Panthers,Wide Receivers
Don Breaux,2001,Carolina Panthers,Tight Ends
Paul T Boudreau,2001,Carolina Panthers,Offensive Line
Greg Roman,2001,Carolina Panthers,Assistant Offensive Line
Jacob Burney,2001,Carolina Panthers,Defensive Line
Sam Mills,2001,Carolina Panthers,Linebackers
Carlos Mainord,2001,Carolina Panthers,Defensive Backs
Alvin Reynolds,2001,Carolina Panthers,Defensive Assistant
Scott O'Brien,2001,Carolina Panthers,Special Teams
Darrin Simmons,2001,Carolina Panthers,Special Teams Assistant/Assistant Strength And Conditioning
Jerry Simmons,2001,Carolina Panthers,Strength And Conditioning
Darrin Simmons,2001,Carolina Panthers,Special Teams Assistant/Assistant Strength And Conditioning
Mike Shanahan,2001,Denver Broncos,Head Coach
Alex Gibbs,2001,Denver Broncos,Assistant Head Coach/Offensive Line
Zaven Yaralian,2001,Denver Broncos,Assistant To The Head Coach
Bobby Turner,2001,Denver Broncos,Running Backs
Karl Dorrell,2001,Denver Broncos,Wide Receivers
Brian Pariani,2001,Denver Broncos,Tight Ends
Rick Dennison,2001,Denver Broncos,Offensive Line
Pat McPherson,2001,Denver Broncos,Offensive Assistant
George Dyer,2001,Denver Broncos,Defensive Line
Larry Coyer,2001,Denver Broncos,Linebackers
Ron Milus,2001,Denver Broncos,Defensive Backs
David Gibbs,2001,Denver Broncos,Safeties
Steve Watson,2001,Denver Broncos,Defensive Assistant
John Teerlinck,2001,Denver Broncos,Pass Rush Specialist
Frank Bush,2001,Denver Broncos,Special Teams
Anthony Lynn,2001,Denver Broncos,Assistant Special Teams/Offensive Assistant
Rich Tuten,2001,Denver Broncos,Strength And Conditioning
Greg Saporta,2001,Denver Broncos,Assistant Strength And Conditioning
Cedric Smith,2001,Denver Broncos,Assistant Strength And Conditioning
Marty Mornhinweg,2001,Detroit Lions,Head Coach
Kevin Higgins,2001,Detroit Lions,Quarterbacks
Larry Kirksey,2001,Detroit Lions,Wide Receivers
Sean Kugler,2001,Detroit Lions,Tight Ends
Carl Mauck,2001,Detroit Lions,Offensive Line
Mike McHugh,2001,Detroit Lions,Offensive Assistant/Quality Control
Bill Young,2001,Detroit Lions,Defensive Line
Charles Haley,2001,Detroit Lions,Assistant Defensive Line/Pass Rush Specialist
Glenn Pires,2001,Detroit Lions,Linebackers
Richard Selcer,2001,Detroit Lions,Defensive Backs
Don Clemons,2001,Detroit Lions,Defensive Assistant/Quality Control
Chuck Priefer,2001,Detroit Lions,Special Teams
Jason Arapoff,2001,Detroit Lions,Strength And Conditioning
Malcolm Blacken,2001,Detroit Lions,Assistant Strength And Conditioning
Mike Sherman,2001,Green Bay Packers,Head Coach
Sylvester Croom,2001,Green Bay Packers,Running Backs
Ray Sherman,2001,Green Bay Packers,Wide Receivers
Jeff Jagodzinski,2001,Green Bay Packers,Tight Ends
Larry Beightol,2001,Green Bay Packers,Offensive Line
Pat Ruel,2001,Green Bay Packers,Assistant Offensive Line
Darrell Bevell,2001,Green Bay Packers,Offensive Assistant/Quality Control
Jethro Franklin,2001,Green Bay Packers,Defensive Line
Bo Pelini,2001,Green Bay Packers,Linebackers
Bob Slowik,2001,Green Bay Packers,Defensive Backs
Lionel Washington,2001,Green Bay Packers,Assistant Defensive Backs
Brad Miller,2001,Green Bay Packers,Defensive Assistant/Quality Control
Frank Novak,2001,Green Bay Packers,Special Teams
Stan Drayton,2001,Green Bay Packers,Quality Control Assistant/Special Teams-Offense
Barry Rubin,2001,Green Bay Packers,Strength And Conditioning
Mark Lovat,2001,Green Bay Packers,Strength And Conditioning Assistant
