name,team,year,position_w
Tom Lovat,Green Bay Packers,1992,Offensive Line
Bob Valesente,Green Bay Packers,1992,Linebackers
Nolan Cromwell,Green Bay Packers,1992,Special Teams
Kent Johnston,Green Bay Packers,1992,Strength And Conditioning
Frank Novak,Houston Oilers,1992,Running Backs
Bob Young,Houston Oilers,1992,Offensive Line
Jim Stanley,Houston Oilers,1992,Defensive Line
Frank Bush,Houston Oilers,1992,Linebackers
Pat Thomas,Houston Oilers,1992,Defensive Backs
Steve Watterson,Houston Oilers,1992,Strength And Rehabilitation
Gene Huey,Indianapolis Colts,1992,Running Backs
Dwain Painter,Indianapolis Colts,1992,Receivers
Brad Seely,Indianapolis Colts,1992,Tight Ends/Special Teams
Alex Gibbs,Indianapolis Colts,1992,Offensive Line
Ron Blackledge,Indianapolis Colts,1992,Offensive Assistant
Francis Peay,Indianapolis Colts,1992,Defensive Line
George Catavolos,Indianapolis Colts,1992,Secondary
Jay Robertson,Indianapolis Colts,1992,Defensive Assistant
Tom Zupancic,Indianapolis Colts,1992,Strength And Conditioning
Howard Mudd,Kansas City Chiefs,1992,Offensive Line
Jimmy Raye,Kansas City Chiefs,1992,Offense/Tight Ends
Tom Pratt,Kansas City Chiefs,1992,Defensive Line
Herman Edwards,Kansas City Chiefs,1992,Defensive Backs
Darvin Wallis,Kansas City Chiefs,1992,Defensive Assistant/Quality Control
Dave Redding,Kansas City Chiefs,1992,Strength And Conditioning
Russ Ball,Kansas City Chiefs,1992,Assistant Strength And Conditioning
Terry Robiskie,Los Angeles Raiders,1992,Offense/Tight Ends
Tom Walsh,Los Angeles Raiders,1992,Offense
Joe Scannella,Los Angeles Raiders,1992,Offensive Backs
Fred Biletnikoff,Los Angeles Raiders,1992,Wide Receivers
Kim Helton,Los Angeles Raiders,1992,Offensive Line
Gunther Cunningham,Los Angeles Raiders,1992,Defense/Linebackers
Earl Leggett,Los Angeles Raiders,1992,Defensive Line
Odis McKinney,Los Angeles Raiders,1992,Defensive Backs
Jack Stanton,Los Angeles Raiders,1992,Defensive Backs
Steve Ortmayer,Los Angeles Raiders,1992,Special Teams
Todd Sperber,Los Angeles Raiders,1992,Strength And Conditioning
Doug Wilkerson,Los Angeles Raiders,1992,Strength And Conditioning
Jack Faulkner,Los Angeles Rams,1992,Administrator Of Football Operations
Milt Jackson,Los Angeles Rams,1992,Wide Receivers
Howard Tippett,Los Angeles Rams,1992,Tight Ends/Special Teams
Jim Erkenbeck,Los Angeles Rams,1992,Offensive Line
Dick Selcer,Los Angeles Rams,1992,Linebackers
Rod Perry,Los Angeles Rams,1992,Defensive Backs
Chris Clausen,Los Angeles Rams,1992,Strength And Conditioning
John Sandusky,Miami Dolphins,1992,Assistant Head/Offensive Line
Gary Stevens,Miami Dolphins,1992,Offense/Quarterbacks
Carl Taseff,Miami Dolphins,1992,Offensive Backs
Larry Seiple,Miami Dolphins,1992,Wide Receivers
Dwight Stephenson,Miami Dolphins,1992,Assistant Offensive Line
Tony Nathan,Miami Dolphins,1992,Coaches’ Assistant
Tom Olivadotti,Miami Dolphins,1992,Defense
Joe Greene,Miami Dolphins,1992,Defensive Line
Mel Phillips,Miami Dolphins,1992,Defensive Backs
Mike Westhoff,Miami Dolphins,1992,Special Teams
Junior Wade,Miami Dolphins,1992,Strength And Conditioning
Tyrone Willingham,Minnesota Vikings,1992,Running Backs
John Michels,Minnesota Vikings,1992,Offensive Line
John Teerlinck,Minnesota Vikings,1992,Defensive Line
Richard Solomon,Minnesota Vikings,1992,Outside Linebackers
Tom Batta,Minnesota Vikings,1992,Special Teams
Steve Wetzel,Minnesota Vikings,1992,Strength And Conditioning
Mike Wolf,Minnesota Vikings,1992,Strength And Conditioning Assistant
Bobby Grier,New England Patriots,1992,Running Backs
Ivan Fears,New England Patriots,1992,Wide Receivers
Dante Scarnecchia,New England Patriots,1992,Tight Ends/Special Teams
Rod Humenuik,New England Patriots,1992,Offensive Line
Joel Collier,New England Patriots,1992,Assistant Running Backs/Assistant Wide Receivers
Stan Jones,New England Patriots,1992,Defensive Line
Dave Uyrus,New England Patriots,1992,Assistant Defensive Line/Assistant Special Teams
Norm Gerber,New England Patriots,1992,Inside Linebackers
Myrel Moore,New England Patriots,1992,Outside Linebackers
Charlie West,New England Patriots,1992,Defensive Backs
Ian Pyka,New England Patriots,1992,Strength And Conditioning
Jim E Mora,New Orleans Saints,1992,Head
Steve Walters,New Orleans Saints,1992,Wide Receivers
Joe Marciano,New Orleans Saints,1992,Tight Ends/Special Teams
Paul Boudreau,New Orleans Saints,1992,Offensive Line
Jim L Mora,New Orleans Saints,1992,Defensive Backs
Russell Paternostro,New Orleans Saints,1992,Strength And Conditioning
Walt Harris,New York Jets,1992,Quarterbacks
Chip Myers,New York Jets,1992,Receivers
Larry Beightol,New York Jets,1992,Offensive Line
Paul Alexander,New York Jets,1992,Offensive Assistant/Tight Ends
Foge Fazio,New York Jets,1992,Linebackers
Greg Mackrides,New York Jets,1992,Strength And Conditioning
Lew Carpenter,Philadelphia Eagles,1992,Receivers
Dale Haupt,Philadelphia Eagles,1992,Defensive Line
Jim Williams,Philadelphia Eagles,1992,Strength And Conditioning
Ted Plumb,Phoenix Cardinals,1992,Receivers
John Matsko,Phoenix Cardinals,1992,Offensive Line
Mike Murphy,Phoenix Cardinals,1992,Inside Linebackers/Quality Control
Pete Rodriguez,Phoenix Cardinals,1992,Special Teams
Bob Rogucki,Phoenix Cardinals,1992,Strength And Conditioning
Chuck Noll,Pittsburgh Steelers,1992,Administration Advisor
Bob Harrison,Pittsburgh Steelers,1992,Wide Receivers
Dick Hoak,Pittsburgh Steelers,1992,Offensive Backfield
Pat Hodgson,Pittsburgh Steelers,1992,Tight Ends
Kent Stephenson,Pittsburgh Steelers,1992,Offensive Line
Steve Furness,Pittsburgh Steelers,1992,Defensive Line
John Guy,Pittsburgh Steelers,1992,Special Teams
John Norwig,Pittsburgh Steelers,1992,Head Trainer
Carl Mauck,San Diego Chargers,1992,Offensive Line
John Misciagna,San Diego Chargers,1992,Quality Control
Chuck Priefer,San Diego Chargers,1992,Special Teams
John Dunn,San Diego Chargers,1992,Strength And Conditioning
Chip Morton,San Diego Chargers,1992,Strength And Conditioning Assistant
Neal Dahlen,San Francisco 49ers,1992,Administrator Of Football Operations
Carl Jackson,San Francisco 49ers,1992,Running Backs
Bobb McKittrick,San Francisco 49ers,1992,Offensive Line
John Marshall,San Francisco 49ers,1992,Defensive Line
Dwaine Board,San Francisco 49ers,1992,Defensive Assistant
Tommy Hart,San Francisco 49ers,1992,Defensive Assistant
Russ Purnell,Seattle Seahawks,1992,Tight Ends/Special Teams
Hudson Houck,Seattle Seahawks,1992,Offensive Line
Tommy Brasher,Seattle Seahawks,1992,Defensive Line
Paul Moyer,Seattle Seahawks,1992,Defensive Backs
Dave Brown,Seattle Seahawks,1992,Defensive
Frank Raines,Seattle Seahawks,1992,Strength And Conditioning
Willie Peete,Tampa Bay Buccaneers,1992,Running Backs
Harold Jackson,Tampa Bay Buccaneers,1992,Wide Receivers
Bob Wylie,Tampa Bay Buccaneers,1992,Offensive Line
Eddie Khayat,Tampa Bay Buccaneers,1992,Defensive Line
Maxie Baughan,Tampa Bay Buccaneers,1992,Linebackers
Steve Shafer,Tampa Bay Buccaneers,1992,Defensive Backs
Jeff FitzGerald,Tampa Bay Buccaneers,1992,Defensive Assistant
George Stewart,Tampa Bay Buccaneers,1992,Special Teams/Tight Ends
Ray Oliver,Tampa Bay Buccaneers,1992,Strength And Conditioning
Dennis Green,Tampa Bay Buccaneers,1992,Strength And Conditioning Assistant
June Jones,Atlanta Falcons,1993,Assistant Head/Offense
Ollie Wilson,Atlanta Falcons,1993,Running Backs
Jimmy Robinson,Atlanta Falcons,1993,Wide Receivers
Bobby April,Atlanta Falcons,1993,Tight Ends/Special Teams
Doug Shively,Atlanta Falcons,1993,Assistant Head/Defense
Bill Kollar,Atlanta Falcons,1993,Defensive Line
Jimmy Carr,Atlanta Falcons,1993,Secondary
Tim Jorgensen,Atlanta Falcons,1993,Strength And Conditioning
Joe Pendry,Chicago Bears,1993,Running Backs
Ivan Fears,Chicago Bears,1993,Wide Receivers
Tony Wise,Chicago Bears,1993,Offensive Line
Clarence Brooks,Chicago Bears,1993,Defensive Line
Carlos Mainord,Chicago Bears,1993,Defensive Assistant
Dave Shula,Cincinnati Bengals,1993,Head
Jim Anderson,Cincinnati Bengals,1993,Running Backs
Jim McNally,Cincinnati Bengals,1993,Offensive Line
Bob Karmelowicz,Cincinnati Bengals,1993,Defensive Line
Mike Haluchak,Cincinnati Bengals,1993,Linebackers
Ron Meeks,Cincinnati Bengals,1993,Defensive Backs
Marv Braden,Cincinnati Bengals,1993,Special Teams
Kim Wood,Cincinnati Bengals,1993,Strength
Gary Tranquill,Cleveland Browns,1993,Quarterbacks
Richard Mann,Cleveland Browns,1993,Receivers
Kirk Ferentz,Cleveland Browns,1993,Offensive Line
Ernie Adams,Cleveland Browns,1993,Offensive Assistant
Kevin Spencer,Cleveland Browns,1993,Offensive Assistant
John Mitchell,Cleveland Browns,1993,Defensive Line
Scott O'Brien,Cleveland Browns,1993,Special Teams
Jerry Simmons,Cleveland Browns,1993,Strength And Conditioning
Harold Richardson,Denver Broncos,1993,Assistant Head/Offense
Bishop Harris,Denver Broncos,1993,Running Backs
Mo Forte,Denver Broncos,1993,Wide Receivers
John Levra,Denver Broncos,1993,Offensive Line
Ernie Stautner,Denver Broncos,1993,Defensive Line
Barney Chavous,Denver Broncos,1993,Assistant Defensive Line/Strength Assistant
John Paul Young,Denver Broncos,1993,Linebackers
Alvin Reynolds,Denver Broncos,1993,Assistant Defensive Backs/Quality Control
Vernon Banks,Denver Broncos,1993,Strength And Conditioning
Dave Levy,Detroit Lions,1993,Assistant Head
Billie Matthews,Detroit Lions,1993,Running Backs
Charlie Sanders,Detroit Lions,1993,Receivers
Jerry Wampfler,Detroit Lions,1993,Offensive Line
Dave Jaumotte,Detroit Lions,1993,Offensive Assistant
Lamar Leachman,Detroit Lions,1993,Defensive Line
Don Clemons,Detroit Lions,1993,Outside Linebackers
John Fontes,Detroit Lions,1993,Defensive Backs
Bert Hill,Detroit Lions,1993,Strength And Conditioning/Defensive Assistant
Gil Haskell,Green Bay Packers,1993,Running Backs
Tom Lovat,Green Bay Packers,1993,Offensive Line
Bob Valesente,Green Bay Packers,1993,Linebackers
Nolan Cromwell,Green Bay Packers,1993,Special Teams
Kent Johnston,Green Bay Packers,1993,Strength And Conditioning
Frank Novak,Houston Oilers,1993,Running Backs
Charlie Baggett,Houston Oilers,1993,Receivers
Bob Young,Houston Oilers,1993,Offensive Line
Jim Stanley,Houston Oilers,1993,Defensive Line
Steve Watterson,Houston Oilers,1993,Strength And Rehabilitation
Gene Huey,Indianapolis Colts,1993,Running Backs
Dwain Painter,Indianapolis Colts,1993,Receivers
Brad Seely,Indianapolis Colts,1993,Tight Ends/Special Teams
Ron Blackledge,Indianapolis Colts,1993,Offensive Line
Francis Peay,Indianapolis Colts,1993,Defensive Line
George Catavolos,Indianapolis Colts,1993,Secondary
Jay Robertson,Indianapolis Colts,1993,Defensive Assistant
Tom Zupancic,Indianapolis Colts,1993,Strength And Conditioning
Jimmy Raye,Kansas City Chiefs,1993,Running Backs
Alex Gibbs,Kansas City Chiefs,1993,Offensive Line
Tom Pratt,Kansas City Chiefs,1993,Defensive Line
Herman Edwards,Kansas City Chiefs,1993,Defensive Backs
John Bunting,Kansas City Chiefs,1993,Defensive Assistant
Darvin Wallis,Kansas City Chiefs,1993,Defensive Assistant/Quality Control
Dave Redding,Kansas City Chiefs,1993,Strength And Conditioning
Russ Ball,Kansas City Chiefs,1993,Assistant Strength And Conditioning
Tom Walsh,Los Angeles Raiders,1993,Offense
Joe Scannella,Los Angeles Raiders,1993,Offensive Backs
Fred Biletnikoff,Los Angeles Raiders,1993,Wide Receivers
Terry Robiskie,Los Angeles Raiders,1993,Tight Ends
Bill Meyers,Los Angeles Raiders,1993,Offensive Line
Gunther Cunningham,Los Angeles Raiders,1993,Defense/Linebackers
Ray Hamilton,Los Angeles Raiders,1993,Defensive Line
Odis McKinney,Los Angeles Raiders,1993,Defensive Backs
Jack Stanton,Los Angeles Raiders,1993,Defensive Backs
Steve Ortmayer,Los Angeles Raiders,1993,Special Teams
Todd Sperber,Los Angeles Raiders,1993,Strength And Conditioning
Doug Wilkerson,Los Angeles Raiders,1993,Strength And Conditioning
Jack Faulkner,Los Angeles Rams,1993,Administrator Of Football Operations
Milt Jackson,Los Angeles Rams,1993,Wide Receivers
Howard Tippett,Los Angeles Rams,1993,Tight Ends/Special Teams
Jim Erkenbeck,Los Angeles Rams,1993,Offensive Line
Chuck Knox Jr,Los Angeles Rams,1993,Offensive Assistant
Dick Selcer,Los Angeles Rams,1993,Linebackers
Rod Perry,Los Angeles Rams,1993,Defensive Backs
Greg Gaines,Los Angeles Rams,1993,Defensive Assistant
Chris Clausen,Los Angeles Rams,1993,Strength And Conditioning
Carl Taseff,Miami Dolphins,1993,Staff Assistant
John Sandusky,Miami Dolphins,1993,Assistant Head/Offensive Line
Gary Stevens,Miami Dolphins,1993,Offense/Quarterbacks
Tony Nathan,Miami Dolphins,1993,Offensive Backs
Larry Seiple,Miami Dolphins,1993,Wide Receivers
Rich McGeorge,Miami Dolphins,1993,Assistant Offensive Line/Tight Ends
Tom Olivadotti,Miami Dolphins,1993,Defense
Joe Greene,Miami Dolphins,1993,Defensive Line
Mel Phillips,Miami Dolphins,1993,Defensive Backs
Mike Westhoff,Miami Dolphins,1993,Special Teams
Junior Wade,Miami Dolphins,1993,Strength And Conditioning
Tyrone Willingham,Minnesota Vikings,1993,Running Backs
Brian Billick,Minnesota Vikings,1993,Tight Ends
John Michels,Minnesota Vikings,1993,Offensive Line
John Teerlinck,Minnesota Vikings,1993,Defensive Line
Richard Solomon,Minnesota Vikings,1993,Outside Linebackers
Tom Batta,Minnesota Vikings,1993,Special Teams
Steve Wetzel,Minnesota Vikings,1993,Strength And Conditioning
Mike Wolf,Minnesota Vikings,1993,Strength And Conditioning Assistant
Fred Hoaglin,New England Patriots,1993,Offensive Line
Bob Trott,New England Patriots,1993,Defensive Backs
Dante Scarnecchia,New England Patriots,1993,Special Assistant
Mike Sweatman,New England Patriots,1993,Special Teams
Johnny Parker,New England Patriots,1993,Strength And Conditioning
Jim E Mora,New Orleans Saints,1993,Head
Steve Walters,New Orleans Saints,1993,Wide Receivers
Joe Marciano,New Orleans Saints,1993,Tight Ends/Special Teams
Paul Boudreau,New Orleans Saints,1993,Offensive Line
Jim L Mora,New Orleans Saints,1993,Defensive Backs
Russell Paternostro,New Orleans Saints,1993,Strength And Conditioning
Dick Rehbein,New York Giants,1993,Wide Receivers
James Daniel,New York Giants,1993,Tight Ends
Earl Leggett,New York Giants,1993,Defensive Line
Joe DeCamillis,New York Giants,1993,Special Teams
Al Miller,New York Giants,1993,Strength And Conditioning
Walt Harris,New York Jets,1993,Quarterbacks
Johnny Roland,New York Jets,1993,Running Backs
Chip Myers,New York Jets,1993,Receivers
Larry Beightol,New York Jets,1993,Offensive Line
Paul Alexander,New York Jets,1993,Offensive Assistant/Tight Ends
Foge Fazio,New York Jets,1993,Linebackers
Greg Mackrides,New York Jets,1993,Strength And Conditioning
Lew Carpenter,Philadelphia Eagles,1993,Receivers/Tight Ends
Bobby Hammond,Philadelphia Eagles,1993,Offensive Assistant/Special Teams Assistant
Dale Haupt,Philadelphia Eagles,1993,Defensive Line
Jim Williams,Philadelphia Eagles,1993,Strength And Conditioning
LeCharls McDaniel,Phoenix Cardinals,1993,Receivers
Ted Plumb,Phoenix Cardinals,1993,Tight Ends
John Matsko,Phoenix Cardinals,1993,Offensive Line
Mike Murphy,Phoenix Cardinals,1993,Inside Linebackers/Quality Control
Pete Rodriguez,Phoenix Cardinals,1993,Special Teams
Bob Rogucki,Phoenix Cardinals,1993,Strength And Conditioning
Chuck Noll,Pittsburgh Steelers,1993,Administration Advisor
Bob Harrison,Pittsburgh Steelers,1993,Wide Receivers
Dick Hoak,Pittsburgh Steelers,1993,Offensive Backfield
Pat Hodgson,Pittsburgh Steelers,1993,Tight Ends
Kent Stephenson,Pittsburgh Steelers,1993,Offensive Line
Steve Furness,Pittsburgh Steelers,1993,Defensive Line
John Guy,Pittsburgh Steelers,1993,Special Teams
John Norwig,Pittsburgh Steelers,1993,Head Trainer
Rick Burkholder,Pittsburgh Steelers,1993,Assistant Trainer
Carl Mauck,San Diego Chargers,1993,Offensive Line
John Misciagna,San Diego Chargers,1993,Quality Control
Chuck Priefer,San Diego Chargers,1993,Special Teams
John Dunn,San Diego Chargers,1993,Strength And Conditioning
Chip Morton,San Diego Chargers,1993,Strength And Conditioning Assistant
Neal Dahlen,San Francisco 49ers,1993,Administrator Of Football Operations
Carl Jackson,San Francisco 49ers,1993,Running Backs
Bobb McKittrick,San Francisco 49ers,1993,Offensive Line
John Marshall,San Francisco 49ers,1993,Defensive Line
Dwaine Board,San Francisco 49ers,1993,Defensive Assistant
Tommy Hart,San Francisco 49ers,1993,Defensive Assistant
Russ Purnell,Seattle Seahawks,1993,Tight Ends/Special Teams
Howard Mudd,Seattle Seahawks,1993,Offensive Line
Tommy Brasher,Seattle Seahawks,1993,Defensive Line
Paul Moyer,Seattle Seahawks,1993,Defensive Backs
Dave Brown,Seattle Seahawks,1993,Defensive
Frank Raines,Seattle Seahawks,1993,Strength And Conditioning
Willie Peete,Tampa Bay Buccaneers,1993,Running Backs
Harold Jackson,Tampa Bay Buccaneers,1993,Wide Receivers
Bob Wylie,Tampa Bay Buccaneers,1993,Offensive Line
Jeff FitzGerald,Tampa Bay Buccaneers,1993,Offensive Assistant/Defensive Assistant
Eddie Khayat,Tampa Bay Buccaneers,1993,Defensive Line
Maxie Baughan,Tampa Bay Buccaneers,1993,Linebackers
Steve Shafer,Tampa Bay Buccaneers,1993,Defensive Backs
George Stewart,Tampa Bay Buccaneers,1993,Special Teams/Tight Ends
Brad Roll,Tampa Bay Buccaneers,1993,Strength And Conditioning
Ted Plumb,Arizona Cardinals,1994,Receivers/Tight Ends
Dan Neal,Arizona Cardinals,1994,Offensive Line
Guy Morriss,Arizona Cardinals,1994,Offensive Line Assistant
George Martinez,Arizona Cardinals,1994,Quality Control
Al Roberts,Arizona Cardinals,1994,Special Teams
Bob Rogucki,Arizona Cardinals,1994,Strength And Conditioning
Ollie Wilson,Atlanta Falcons,1994,Running Backs
Milt Jackson,Atlanta Falcons,1994,Assistant Head/Wide Receivers
Bob Palcic,Atlanta Falcons,1994,Offensive Line
Bill Kollar,Atlanta Falcons,1994,Defensive Line
Keith Armstrong,Atlanta Falcons,1994,Outside Linebackers
Greg Brown,Atlanta Falcons,1994,Secondary
Tim Marcum,Atlanta Falcons,1994,Defensive Assistant
Tim Jorgensen,Atlanta Falcons,1994,Strength And Conditioning
Tom Telesco,Buffalo Bills,1994,Summer Intern
Elijah Pitts,Buffalo Bills,1994,Assistant Head/Running Backs
Charlie Joiner,Buffalo Bills,1994,Receivers
Don Lawrence,Buffalo Bills,1994,Offensive Quality Control/Tight Ends
Don Sekanovich,Buffalo Bills,1994,Defensive Line
Dick Roach,Buffalo Bills,1994,Defensive Backs
Walt Corey,Buffalo Bills,1994,Linebackers
Chuck Lester,Buffalo Bills,1994,Assistant Linebackers
Bruce DeHaven,Buffalo Bills,1994,Special Teams
Joe Pendry,Chicago Bears,1994,Running Backs
Ivan Fears,Chicago Bears,1994,Wide Receivers
Tony Wise,Chicago Bears,1994,Offensive Line
Clarence Brooks,Chicago Bears,1994,Defensive Line
Carlos Mainord,Chicago Bears,1994,Defensive Assistant
Dave Shula,Cincinnati Bengals,1994,Head
Jim Anderson,Cincinnati Bengals,1994,Running Backs
Paul Alexander,Cincinnati Bengals,1994,Tight Ends
Jim McNally,Cincinnati Bengals,1994,Offensive Line
Joe Wessel,Cincinnati Bengals,1994,Defensive Line
Ron Meeks,Cincinnati Bengals,1994,Defensive Backs
Bobby DePaul,Cincinnati Bengals,1994,Defensive Staff Assistant
Marv Braden,Cincinnati Bengals,1994,Special Teams
Kim Wood,Cincinnati Bengals,1994,Strength
Kirk Ferentz,Cleveland Browns,1994,Offensive Line
Ernie Adams,Cleveland Browns,1994,Special Assignment
Kevin Spencer,Cleveland Browns,1994,Offensive Assistant
Jacob Burney,Cleveland Browns,1994,Defensive Line
Rick Venturi,Cleveland Browns,1994,Defensive Backfield
Scott O'Brien,Cleveland Browns,1994,Special Teams
Jerry Simmons,Cleveland Browns,1994,Strength And Conditioning
Harold Richardson,Denver Broncos,1994,Assistant Head/Offense
Bishop Harris,Denver Broncos,1994,Running Backs
Mo Forte,Denver Broncos,1994,Wide Receivers
John Levra,Denver Broncos,1994,Offensive Line
Rex Norris,Denver Broncos,1994,Defensive Line
Barney Chavous,Denver Broncos,1994,Assistant Defensive Line/Strength Assistant
John Paul Young,Denver Broncos,1994,Linebackers
Leon Fuller,Denver Broncos,1994,Defensive Backs/Secondary
Alvin Reynolds,Denver Broncos,1994,Assistant Defensive Backs/Quality Control
Vernon Banks,Denver Broncos,1994,Strength And Conditioning
Dave Levy,Detroit Lions,1994,Assistant Head/Offense
Billie Matthews,Detroit Lions,1994,Running Backs
Charlie Sanders,Detroit Lions,1994,Receivers
Dave Jaumotte,Detroit Lions,1994,Tight Ends/H-Backs
Paul Boudreau,Detroit Lions,1994,Offensive Line
Lamar Leachman,Detroit Lions,1994,Defensive Line
Howard Tippett,Detroit Lions,1994,Linebackers
Don Clemons,Detroit Lions,1994,Outside Linebackers
John Fontes,Detroit Lions,1994,Defensive Backs
Steve Kazor,Detroit Lions,1994,Special Teams
Bert Hill,Detroit Lions,1994,Strength And Conditioning/Defensive Assistant
Gil Haskell,Green Bay Packers,1994,Running Backs
Tom Lovat,Green Bay Packers,1994,Offensive Line
Larry Brooks,Green Bay Packers,1994,Defensive Line
Bob Valesente,Green Bay Packers,1994,Linebackers
Nolan Cromwell,Green Bay Packers,1994,Special Teams
Kent Johnston,Green Bay Packers,1994,Strength And Conditioning
Kevin Gilbride,Houston Oilers,1994,Assistant Head/Offense
Frank Novak,Houston Oilers,1994,Running Backs/Special Teams
Charlie Baggett,Houston Oilers,1994,Receivers
Bob Young,Houston Oilers,1994,Offensive Line
Jim Stanley,Houston Oilers,1994,Defensive Line
Steve Watterson,Houston Oilers,1994,Strength And Rehabilitation
Gene Huey,Indianapolis Colts,1994,Running Backs
Jimmy Robinson,Indianapolis Colts,1994,Receivers
Ron Blackledge,Indianapolis Colts,1994,Offensive Line
Pat Thomas,Indianapolis Colts,1994,Secondary
Tom Batta,Indianapolis Colts,1994,Special Teams
Tom Zupancic,Indianapolis Colts,1994,Strength And Conditioning
Jimmy Raye,Kansas City Chiefs,1994,Running Backs
Alex Gibbs,Kansas City Chiefs,1994,Offensive Line
Tom Pratt,Kansas City Chiefs,1994,Defensive Line
Herman Edwards,Kansas City Chiefs,1994,Defensive Backs
John Bunting,Kansas City Chiefs,1994,Defensive Assistant
Darvin Wallis,Kansas City Chiefs,1994,Defensive Assistant/Quality Control
Dave Redding,Kansas City Chiefs,1994,Strength And Conditioning
Russ Ball,Kansas City Chiefs,1994,Assistant Strength And Conditioning
Tom Walsh,Los Angeles Raiders,1994,Offense
Fred Biletnikoff,Los Angeles Raiders,1994,Wide Receivers
Bob Mischak,Los Angeles Raiders,1994,Tight Ends
Bill Meyers,Los Angeles Raiders,1994,Offensive Line
John Fox,Los Angeles Raiders,1994,Defense
Gunther Cunningham,Los Angeles Raiders,1994,Defensive Line
Ray Hamilton,Los Angeles Raiders,1994,Defensive Line
Odis McKinney,Los Angeles Raiders,1994,Defensive Backs
Jack Stanton,Los Angeles Raiders,1994,Defensive Backs
Steve Ortmayer,Los Angeles Raiders,1994,Special Teams
Doug Wilkerson,Los Angeles Raiders,1994,Strength And Conditioning
Jack Faulkner,Los Angeles Rams,1994,Administrator Of Football Operations
Steve Moore,Los Angeles Rams,1994,Wide Receivers
Rennie Simmons,Los Angeles Rams,1994,Tight Ends
Jim Erkenbeck,Los Angeles Rams,1994,Offensive Line
Chuck Knox Jr,Los Angeles Rams,1994,Offensive Assistant
Dick Selcer,Los Angeles Rams,1994,Linebackers
Rod Perry,Los Angeles Rams,1994,Defensive Backs
Greg Gaines,Los Angeles Rams,1994,Defensive Assistant
Wayne Sevier,Los Angeles Rams,1994,Special Teams
Chris Clausen,Los Angeles Rams,1994,Strength And Conditioning
Joel Collier,Miami Dolphins,1994,Staff Assistant
Gary Stevens,Miami Dolphins,1994,Offense/Quarterbacks
Tony Nathan,Miami Dolphins,1994,Offensive Backs
Larry Seiple,Miami Dolphins,1994,Wide Receivers
Rich McGeorge,Miami Dolphins,1994,Assistant Offensive Line/Tight Ends
John Sandusky,Miami Dolphins,1994,Assistant Head/Offensive Line
Tom Olivadotti,Miami Dolphins,1994,Defense
Joe Greene,Miami Dolphins,1994,Defensive Line
Mel Phillips,Miami Dolphins,1994,Defensive Backs
Mike Westhoff,Miami Dolphins,1994,Special Teams
John Gamble,Miami Dolphins,1994,Strength
Junior Wade,Miami Dolphins,1994,Conditioning
Tyrone Willingham,Minnesota Vikings,1994,Running Backs
Jerry Rhome,Minnesota Vikings,1994,Receivers
Carl Hargrave,Minnesota Vikings,1994,Offensive Assistant
John Teerlinck,Minnesota Vikings,1994,Defensive Line
Trent Walters,Minnesota Vikings,1994,Outside Linebackers
Richard Solomon,Minnesota Vikings,1994,Defensive Backs
Gary Zauner,Minnesota Vikings,1994,Special Teams
Steve Wetzel,Minnesota Vikings,1994,Strength And Conditioning
Mike Wolf,Minnesota Vikings,1994,Strength And Conditioning Assistant
Fred Hoaglin,New England Patriots,1994,Offensive Line
Bob Trott,New England Patriots,1994,Defensive Backs
Dante Scarnecchia,New England Patriots,1994,Special Assistant
Mike Sweatman,New England Patriots,1994,Special Teams
Johnny Parker,New England Patriots,1994,Strength And Conditioning
Steve Walters,New Orleans Saints,1994,Wide Receivers
Joe Marciano,New Orleans Saints,1994,Tight Ends/Special Teams
John Matsko,New Orleans Saints,1994,Offensive Line
Chip Myers,New Orleans Saints,1994,Offensive Assistant
Jim L Mora,New Orleans Saints,1994,Defensive Backs
Everett Withers,New Orleans Saints,1994,Defensive Assistant
Russell Paternostro,New Orleans Saints,1994,Strength And Conditioning
Dick Rehbein,New York Giants,1994,Wide Receivers
James Daniel,New York Giants,1994,Tight Ends
Earl Leggett,New York Giants,1994,Defensive Line
Joe DeCamillis,New York Giants,1994,Special Teams
Al Miller,New York Giants,1994,Strength And Conditioning
Walt Harris,New York Jets,1994,Quarterbacks
Johnny Roland,New York Jets,1994,Running Backs
Richard Mann,New York Jets,1994,Receivers
Larry Beightol,New York Jets,1994,Offensive Line
Sparky Woods,New York Jets,1994,Offensive Assistant
Larry Coyer,New York Jets,1994,Defensive Line
Foge Fazio,New York Jets,1994,Linebackers
Steve Trimble,New York Jets,1994,Defensive Assistant
Brad Seely,New York Jets,1994,Special Teams
Greg Mackrides,New York Jets,1994,Strength And Conditioning
Lew Carpenter,Philadelphia Eagles,1994,Receivers/Tight Ends
Bobby Hammond,Philadelphia Eagles,1994,Offensive Assistant/Special Teams Assistant
Dale Haupt,Philadelphia Eagles,1994,Defensive Line
Jim Williams,Philadelphia Eagles,1994,Strength And Conditioning
Chuck Noll,Pittsburgh Steelers,1994,Administration Advisor
Dick Hoak,Pittsburgh Steelers,1994,Running Backs
Pat Hodgson,Pittsburgh Steelers,1994,Tight Ends
Kent Stephenson,Pittsburgh Steelers,1994,Offensive Line
John Mitchell,Pittsburgh Steelers,1994,Defensive Line
Bobby April,Pittsburgh Steelers,1994,Special Teams
John Norwig,Pittsburgh Steelers,1994,Head Trainer
