name,team,year,position,phase,level,win,loss,tie
Juan Castillo,Philadelphia Eagles,1995,Offensive Assistant,Offense,Positional,10.0,6.0,0.0
Dick Jamieson,Philadelphia Eagles,1995,Running Backs,Offense,Positional,10.0,6.0,0.0
Mike Trgovac,Philadelphia Eagles,1995,Defensive Line,Defense,Positional,10.0,6.0,0.0
Joe Vitt,Philadelphia Eagles,1995,Linebackers,Defense,Positional,10.0,6.0,0.0
Barry Switzer,Dallas Cowboys,1995,Head Coach,Head,Head,12.0,4.0,0.0
Jim Eddy,Dallas Cowboys,1995,Linebackers,Defense,Positional,12.0,4.0,0.0
Mike Zimmer,Dallas Cowboys,1995,Defensive Backs Coach,Defense,Positional,12.0,4.0,0.0
Mike White,Oakland Raiders,1995,Head Coach,Head,Head,8.0,8.0,0.0
Floyd Peters,Oakland Raiders,1995,Defensive Line,Defense,Positional,8.0,8.0,0.0
Mike Shanahan,Denver Broncos,1995,Head Coach,Head,Head,8.0,8.0,0.0
Frank Bush,Denver Broncos,1995,Linebackers,Defense,Positional,8.0,8.0,0.0
Rick Dennison,Denver Broncos,1995,Offensive Assistant/Offensive Asst,Offense,Positional,8.0,8.0,0.0
Ed Donatell,Denver Broncos,1995,Defensive Backs/Secondary,Defense,Positional,8.0,8.0,0.0
George Dyer,Denver Broncos,1995,Defensive Line,Defense,Positional,8.0,8.0,0.0
Mike Heimerdinger,Denver Broncos,1995,Wide Receivers,Offense,Positional,8.0,8.0,0.0
Richard Smith,Denver Broncos,1995,Special Teams,Special Teams,Coordinator,8.0,8.0,0.0
Bobby Ross,San Diego Chargers,1995,Head Coach,Head,Head,9.0,7.0,0.0
Sylvester Croom,San Diego Chargers,1995,Offensive Backs/Running Backs,Offense,Positional,9.0,7.0,0.0
Dale Lindsey,San Diego Chargers,1995,Linebackers,Defense,Positional,9.0,7.0,0.0
Jerry Sullivan,San Diego Chargers,1995,Wide Receivers,Offense,Positional,9.0,7.0,0.0
Dennis Erickson,Seattle Seahawks,1995,Head Coach,Head,Head,8.0,8.0,0.0
Tom Catlin,Seattle Seahawks,1995,Quality Control/Linebackers,Defense,Positional,8.0,8.0,0.0
Willy Robinson,Seattle Seahawks,1995,Defensive Backs,Defense,Positional,8.0,8.0,0.0
Clarence Shelmon,Seattle Seahawks,1995,Running Backs,Offense,Positional,8.0,8.0,0.0
Marty Schottenheimer,Kansas City Chiefs,1995,Head Coach,Head,Head,13.0,3.0,0.0
Herm Edwards,Kansas City Chiefs,1995,Defensive Backs,Defense,Positional,13.0,3.0,0.0
Mike McCarthy,Kansas City Chiefs,1995,Quarterbacks,Offense,Positional,13.0,3.0,0.0
Al Saunders,Kansas City Chiefs,1995,Assistant Head Coach/Wide Receivers,Head,Head,13.0,3.0,0.0
Kurt Schottenheimer,Kansas City Chiefs,1995,Defensive Backs,Defense,Positional,13.0,3.0,0.0
Art Shell,Kansas City Chiefs,1995,Offensive Line,Offense,Positional,13.0,3.0,0.0
Tom Coughlin,Jacksonville Jaguars,1995,Head Coach,Head,Head,4.0,12.0,0.0
Pete Carmichael,Jacksonville Jaguars,1995,Wide Receivers,Offense,Positional,4.0,12.0,0.0
Nick Nicolau,Jacksonville Jaguars,1995,Tight Ends,Offense,Positional,4.0,12.0,0.0
John Pease,Jacksonville Jaguars,1995,Defensive Line,Defense,Positional,4.0,12.0,0.0
Bill Belichick,Cleveland Browns,1995,Head Coach,Head,Head,5.0,11.0,0.0
Jim Bates,Cleveland Browns,1995,Secondary/Defensive Backs,Defense,Positional,5.0,11.0,0.0
Chuck Bresnahan,Cleveland Browns,1995,Quality Control/Linebackers,Defense,Positional,5.0,11.0,0.0
Eric Mangini,Cleveland Browns,1995,Coaches Assistant,,Positional,5.0,11.0,0.0
Mike Sheppard,Cleveland Browns,1995,Receivers/Wide Receivers,Offense,Positional,5.0,11.0,0.0
David Shula,Cincinnati Bengals,1995,Head Coach,Head,Head,7.0,9.0,0.0
Ken Anderson,Cincinnati Bengals,1995,Quarterbacks,Offense,Positional,7.0,9.0,0.0
Gary Moeller,Cincinnati Bengals,1995,Tight Ends,Offense,Positional,7.0,9.0,0.0
Joe Pascale,Cincinnati Bengals,1995,Linebackers,Defense,Positional,7.0,9.0,0.0
Jeff Fisher,Houston Oilers,1995,Head Coach,Head,Head,7.0,9.0,0.0
Dick Coury,Houston Oilers,1995,Passing Game/Offensive Assistant,Offense,Positional,7.0,9.0,0.0
Mike Munchak,Houston Oilers,1995,Quality Control/Offensive Assistant,Offense,Positional,7.0,9.0,0.0
Clancy Pendergast,Houston Oilers,1995,Quality Control/Defensive Assistant,Defense,Positional,7.0,9.0,0.0
Sherman Smith,Houston Oilers,1995,Running Backs,Offense,Positional,7.0,9.0,0.0
Les Steckel,Houston Oilers,1995,Wide Receivers/Tight Ends,Offense,Positional,7.0,9.0,0.0
Gregg Williams,Houston Oilers,1995,Linebackers,Defense,Positional,7.0,9.0,0.0
Bill Cowher,Pittsburgh Steelers,1995,Head Coach,Head,Head,11.0,5.0,0.0
Chan Gailey,Pittsburgh Steelers,1995,Wide Receivers,Offense,Positional,11.0,5.0,0.0
Marvin Lewis,Pittsburgh Steelers,1995,Linebackers,Defense,Positional,11.0,5.0,0.0
Tim Lewis,Pittsburgh Steelers,1995,Defensive Backs,Defense,Positional,11.0,5.0,0.0
Rich Kotite,New York Jets,1995,Head Coach,Head,Head,3.0,13.0,0.0
Peter Giunta,New York Jets,1995,Secondary/Defensive Backs,Defense,Positional,3.0,13.0,0.0
Bill Muir,New York Jets,1995,Offensive Line,Offense,Positional,3.0,13.0,0.0
Dick Wood,New York Jets,1995,Running Backs,Offense,Positional,3.0,13.0,0.0
Bill Parcells,New England Patriots,1995,Head Coach,Head,Head,6.0,10.0,0.0
Maurice Carthon,New England Patriots,1995,Offensive Assistant/Running Backs,Offense,Positional,6.0,10.0,0.0
Romeo Crennel,New England Patriots,1995,Defensive Line,Defense,Positional,6.0,10.0,0.0
Chris Palmer,New England Patriots,1995,Wide Receivers,Offense,Positional,6.0,10.0,0.0
Mike Pope,New England Patriots,1995,Tight Ends,Offense,Positional,6.0,10.0,0.0
Charlie Weis,New England Patriots,1995,Running Backs,Offense,Positional,6.0,10.0,0.0
Don Shula,Miami Dolphins,1995,Head Coach,Head,Head,9.0,7.0,0.0
Monte Clark,Miami Dolphins,1995,Offensive Line,Offense,Positional,9.0,7.0,0.0
George Hill,Miami Dolphins,1995,Linebackers,Defense,Positional,9.0,7.0,0.0
Ted Marchibroda,Indianapolis Colts,1995,Head Coach,Head,Head,9.0,7.0,0.0
Greg Blache,Indianapolis Colts,1995,Defensive Line,Defense,Positional,9.0,7.0,0.0
Fred Bruney,Indianapolis Colts,1995,Defensive Assistant,Defense,Positional,9.0,7.0,0.0
Jim Johnson,Indianapolis Colts,1995,Linebackers,Defense,Positional,9.0,7.0,0.0
Hank Kuhlmann,Indianapolis Colts,1995,Special Teams,Special Teams,Coordinator,9.0,7.0,0.0
Marv Levy,Buffalo Bills,1995,Head Coach,Head,Head,10.0,6.0,0.0
Ted Cottrell,Buffalo Bills,1995,Linebackers,Defense,Positional,10.0,6.0,0.0
Jim Shofner,Buffalo Bills,1995,Quarterbacks,Offense,Positional,10.0,6.0,0.0
June Jones,Atlanta Falcons,1996,Head Coach,Head,Head,3.0,13.0,0.0
Frank Gansz,Atlanta Falcons,1996,Special Teams/Assistant Head Coach,Head,Head,3.0,13.0,0.0
Joe Haering,Atlanta Falcons,1996,Linebackers,Defense,Positional,3.0,13.0,0.0
Rich Brooks,St. Louis Rams,1996,Head Coach,Head,Head,6.0,10.0,0.0
John Fox,St. Louis Rams,1996,Consultant,,,6.0,10.0,0.0
Mike Martz,St. Louis Rams,1996,Wide Receivers,Offense,Positional,6.0,10.0,0.0
George Seifert,San Francisco 49ers,1996,Head Coach,Head,Head,12.0,4.0,0.0
Matt Cavanaugh,San Francisco 49ers,1996,Quarterbacks,Offense,Positional,12.0,4.0,0.0
Greg Knapp,San Francisco 49ers,1996,Offensive Quality Control/Offensive Assistant,Offense,Positional,12.0,4.0,0.0
Bill McPherson,San Francisco 49ers,1996,Assistant Head Coach,Head,Head,12.0,4.0,0.0
Mike Solari,San Francisco 49ers,1996,Offensive Line Assistant/Aoffensive Line/Tight Ends,Offense,Positional,12.0,4.0,0.0
Dom Capers,Carolina Panthers,1996,Head Coach,Head,Head,12.0,4.0,0.0
Don Breaux,Carolina Panthers,1996,Tight Ends,Offense,Positional,12.0,4.0,0.0
Bill Davis,Carolina Panthers,1996,Outside Linebackers,Defense,Positional,12.0,4.0,0.0
Chick Harris,Carolina Panthers,1996,Running Backs,Offense,Positional,12.0,4.0,0.0
Greg Roman,Carolina Panthers,1996,Strength And Conditioning Assistant/Assistant Coach/Defensive Quality Control,Defense,Positional,12.0,4.0,0.0
John Shoop,Carolina Panthers,1996,Offensive Quality Control,Offense,Positional,12.0,4.0,0.0
Richard Williamson,Carolina Panthers,1996,Wide Receivers,Offense,Positional,12.0,4.0,0.0
Wayne Fontes,Detroit Lions,1996,Head Coach,Head,Head,5.0,11.0,0.0
Greg Landry,Detroit Lions,1996,Quarterbacks,Offense,Positional,5.0,11.0,0.0
Dave Levy,Detroit Lions,1996,Assistant Head Coach,Head,Head,5.0,11.0,0.0
Tony Dungy,Tampa Bay Buccaneers,1996,Head Coach,Head,Head,6.0,10.0,0.0
Clyde Christensen,Tampa Bay Buccaneers,1996,Tight Ends Coach/Tight Ends,Offense,Positional,6.0,10.0,0.0
Herm Edwards,Tampa Bay Buccaneers,1996,Defensive Backs/Assistant Head Coach,Head,Head,6.0,10.0,0.0
Chris Foerster,Tampa Bay Buccaneers,1996,Offensive Line,Offense,Positional,6.0,10.0,0.0
Rod Marinelli,Tampa Bay Buccaneers,1996,Defensive Line,Defense,Positional,6.0,10.0,0.0
Lovie Smith,Tampa Bay Buccaneers,1996,Linebackers,Defense,Positional,6.0,10.0,0.0
Dave Wannstedt,Chicago Bears,1996,Head Coach,Head,Head,7.0,9.0,0.0
Danny Abramowicz,Chicago Bears,1996,Special Teams,Special Teams,Coordinator,7.0,9.0,0.0
Greg Schiano,Chicago Bears,1996,Defensive Assistant,Defense,Positional,7.0,9.0,0.0
Dennis Green,Minnesota Vikings,1996,Head Coach,Head,Head,9.0,7.0,0.0
Tom Olivadotti,Minnesota Vikings,1996,Inside Linebackers,Defense,Positional,9.0,7.0,0.0
Keith Rowen,Minnesota Vikings,1996,Offensive Line,Offense,Positional,9.0,7.0,0.0
Ray Sherman,Minnesota Vikings,1996,Quarterbacks,Offense,Positional,9.0,7.0,0.0
Mike Tice,Minnesota Vikings,1996,Tight Ends,Offense,Positional,9.0,7.0,0.0
Mike Holmgren,Green Bay Packers,1996,Head Coach,Head,Head,13.0,3.0,0.0
Jim Lind,Green Bay Packers,1996,Linebackers,Defense,Positional,13.0,3.0,0.0
Marty Mornhinweg,Green Bay Packers,1996,Quarterbacks,Offense,Positional,13.0,3.0,0.0
Andy Reid,Green Bay Packers,1996,Assistant Offensive Line/Tight Ends,Offense,Positional,13.0,3.0,0.0
Dan Reeves,New York Giants,1996,Head Coach,Head,Head,6.0,10.0,0.0
Don Blackmon,New York Giants,1996,Linebackers,Defense,Positional,6.0,10.0,0.0
Dave Brazil,New York Giants,1996,Defensive Quality Control/Linebackers,Defense,Positional,6.0,10.0,0.0
Pete Mangurian,New York Giants,1996,Offensive Line,Offense,Positional,6.0,10.0,0.0
George Sefcik,New York Giants,1996,Running Backs,Offense,Positional,6.0,10.0,0.0
Zaven Yaralian,New York Giants,1996,Defensive Backs,Defense,Positional,6.0,10.0,0.0
Vince Tobin,Arizona Cardinals,1996,Head Coach,Head,Head,7.0,9.0,0.0
Geep Chryst,Arizona Cardinals,1996,Quality Control/Tight Ends,Offense,Positional,7.0,9.0,0.0
Larry Marmie,Arizona Cardinals,1996,Defensive Backs,Defense,Positional,7.0,9.0,0.0
Jim Skipper,Arizona Cardinals,1996,Running Backs,Offense,Positional,7.0,9.0,0.0
Norv Turner,Washington Redskins,1996,Head Coach,Head,Head,9.0,7.0,0.0
Cam Cameron,Washington Redskins,1996,Quarterbacks,Offense,Positional,9.0,7.0,0.0
Jim Hanifan,Washington Redskins,1996,Offensive Line,Offense,Positional,9.0,7.0,0.0
Ray Horton,Washington Redskins,1996,Assistant Defensive Backs Coach/Assistant Secondary,Defense,Positional,9.0,7.0,0.0
Bobby Jackson,Washington Redskins,1996,Running Backs,Offense,Positional,9.0,7.0,0.0
Terry Robiskie,Washington Redskins,1996,Wide Receivers,Offense,Positional,9.0,7.0,0.0
Ray Rhodes,Philadelphia Eagles,1996,Head Coach,Head,Head,10.0,6.0,0.0
Bill Callahan,Philadelphia Eagles,1996,Offensive Line,Offense,Positional,10.0,6.0,0.0
Juan Castillo,Philadelphia Eagles,1996,Offensive Assistant,Offense,Positional,10.0,6.0,0.0
Dick Jamieson,Philadelphia Eagles,1996,Running Backs,Offense,Positional,10.0,6.0,0.0
Mike Trgovac,Philadelphia Eagles,1996,Defensive Line,Defense,Positional,10.0,6.0,0.0
Joe Vitt,Philadelphia Eagles,1996,Linebackers,Defense,Positional,10.0,6.0,0.0
Barry Switzer,Dallas Cowboys,1996,Head Coach,Head,Head,10.0,6.0,0.0
Jim Bates,Dallas Cowboys,1996,Linebackers,Defense,Positional,10.0,6.0,0.0
Clancy Pendergast,Dallas Cowboys,1996,Quality Control,,Positional,10.0,6.0,0.0
Mike Zimmer,Dallas Cowboys,1996,Defensive Backs Coach,Defense,Positional,10.0,6.0,0.0
Dennis Erickson,Seattle Seahawks,1996,Head Coach,Head,Head,7.0,9.0,0.0
Willy Robinson,Seattle Seahawks,1996,Defensive Backs,Defense,Positional,7.0,9.0,0.0
Clarence Shelmon,Seattle Seahawks,1996,Running Backs,Offense,Positional,7.0,9.0,0.0
Bobby Ross,San Diego Chargers,1996,Head Coach,Head,Head,8.0,8.0,0.0
Sylvester Croom,San Diego Chargers,1996,Offensive Backs/Running Backs,Offense,Positional,8.0,8.0,0.0
Dale Lindsey,San Diego Chargers,1996,Linebackers,Defense,Positional,8.0,8.0,0.0
Jerry Sullivan,San Diego Chargers,1996,Wide Receivers,Offense,Positional,8.0,8.0,0.0
Marty Schottenheimer,Kansas City Chiefs,1996,Head Coach,Head,Head,9.0,7.0,0.0
Mike McCarthy,Kansas City Chiefs,1996,Quarterbacks,Offense,Positional,9.0,7.0,0.0
Al Saunders,Kansas City Chiefs,1996,Assistant Head Coach/Wide Receivers,Head,Head,9.0,7.0,0.0
Kurt Schottenheimer,Kansas City Chiefs,1996,Defensive Backs,Defense,Positional,9.0,7.0,0.0
Art Shell,Kansas City Chiefs,1996,Offensive Line,Offense,Positional,9.0,7.0,0.0
Ted Marchibroda,Baltimore Ravens,1996,Head Coach,Head,Head,4.0,12.0,0.0
Eric Mangini,Baltimore Ravens,1996,Quality Control/Offensive Assistant/Offense,Offense,Positional,4.0,12.0,0.0
Jim Schwartz,Baltimore Ravens,1996,Outside Linebackers/Defense/Quality Control,Defense,Positional,4.0,12.0,0.0
Mike Sheppard,Baltimore Ravens,1996,Wide Receivers,Offense,Positional,4.0,12.0,0.0
Mike Shanahan,Denver Broncos,1996,Head Coach,Head,Head,13.0,3.0,0.0
Frank Bush,Denver Broncos,1996,Linebackers,Defense,Positional,13.0,3.0,0.0
Rick Dennison,Denver Broncos,1996,Offensive Assistant/Offensive Asst,Offense,Positional,13.0,3.0,0.0
Ed Donatell,Denver Broncos,1996,Defensive Backs/Secondary,Defense,Positional,13.0,3.0,0.0
George Dyer,Denver Broncos,1996,Defensive Line,Defense,Positional,13.0,3.0,0.0
Mike Heimerdinger,Denver Broncos,1996,Wide Receivers,Offense,Positional,13.0,3.0,0.0
Richard Smith,Denver Broncos,1996,Special Teams,Special Teams,Coordinator,13.0,3.0,0.0
Jeff Fisher,Houston Oilers,1996,Head Coach,Head,Head,8.0,8.0,0.0
Dick Coury,Houston Oilers,1996,Passing Game/Offensive Assistant,Offense,Positional,8.0,8.0,0.0
Mike Munchak,Houston Oilers,1996,Quality Control/Offensive Assistant,Offense,Positional,8.0,8.0,0.0
Sherman Smith,Houston Oilers,1996,Running Backs,Offense,Positional,8.0,8.0,0.0
Les Steckel,Houston Oilers,1996,Wide Receivers/Tight Ends,Offense,Positional,8.0,8.0,0.0
Gregg Williams,Houston Oilers,1996,Linebackers,Defense,Positional,8.0,8.0,0.0
Mike White,Oakland Raiders,1996,Head Coach,Head,Head,7.0,9.0,0.0
Floyd Peters,Oakland Raiders,1996,Defensive Line,Defense,Positional,7.0,9.0,0.0
David Shula,Cincinnati Bengals,1996,Head Coach,Head,Head,8.0,8.0,0.0
Bruce Coslet,Cincinnati Bengals,1996,Head Coach,Head,Head,8.0,8.0,0.0
Gary Moeller,Cincinnati Bengals,1996,Tight Ends,Offense,Positional,8.0,8.0,0.0
Joe Pascale,Cincinnati Bengals,1996,Linebackers,Defense,Positional,8.0,8.0,0.0
Tom Coughlin,Jacksonville Jaguars,1996,Head Coach,Head,Head,9.0,7.0,0.0
Pete Carmichael,Jacksonville Jaguars,1996,Wide Receivers,Offense,Positional,9.0,7.0,0.0
Nick Nicolau,Jacksonville Jaguars,1996,Tight Ends,Offense,Positional,9.0,7.0,0.0
John Pease,Jacksonville Jaguars,1996,Defensive Line,Defense,Positional,9.0,7.0,0.0
Rich Kotite,New York Jets,1996,Head Coach,Head,Head,1.0,15.0,0.0
Zeke Bratkowski,New York Jets,1996,Assistant Head Coach,Head,Head,1.0,15.0,0.0
Peter Giunta,New York Jets,1996,Defensive Backs,Defense,Positional,1.0,15.0,0.0
Bill Muir,New York Jets,1996,Offensive Line/Offensive Line Coach,Offense,Positional,1.0,15.0,0.0
Bill Cowher,Pittsburgh Steelers,1996,Head Coach,Head,Head,10.0,6.0,0.0
Tim Lewis,Pittsburgh Steelers,1996,Defensive Backs,Defense,Positional,10.0,6.0,0.0
Mike Mularkey,Pittsburgh Steelers,1996,Tight Ends,Offense,Positional,10.0,6.0,0.0
Jimmy Johnson,Miami Dolphins,1996,Head Coach,Head,Head,8.0,8.0,0.0
Kippy Brown,Miami Dolphins,1996,Running Backs,Offense,Positional,8.0,8.0,0.0
Lindy Infante,Indianapolis Colts,1996,Head Coach,Head,Head,9.0,7.0,0.0
Greg Blache,Indianapolis Colts,1996,Defensive Line,Defense,Positional,9.0,7.0,0.0
Chuck Bresnahan,Indianapolis Colts,1996,Linebackers,Defense,Positional,9.0,7.0,0.0
Fred Bruney,Indianapolis Colts,1996,Defensive Assistant,Defense,Positional,9.0,7.0,0.0
Marv Levy,Buffalo Bills,1996,Head Coach,Head,Head,10.0,6.0,0.0
Ted Cottrell,Buffalo Bills,1996,Linebackers,Defense,Positional,10.0,6.0,0.0
Jim Shofner,Buffalo Bills,1996,Quarterbacks,Offense,Positional,10.0,6.0,0.0
Bill Parcells,New England Patriots,1996,Head Coach,Head,Head,11.0,5.0,0.0
Bill Belichick,New England Patriots,1996,Secondary/Assistant Head Coach/Defensive Backs,Head,Head,11.0,5.0,0.0
Maurice Carthon,New England Patriots,1996,Running Backs,Offense,Positional,11.0,5.0,0.0
Romeo Crennel,New England Patriots,1996,Defensive Line,Defense,Positional,11.0,5.0,0.0
Chris Palmer,New England Patriots,1996,Quarterbacks,Offense,Positional,11.0,5.0,0.0
Mike Pope,New England Patriots,1996,Tight Ends,Offense,Positional,11.0,5.0,0.0
Charlie Weis,New England Patriots,1996,Wide Receivers,Offense,Positional,11.0,5.0,0.0
Mike Ditka,New Orleans Saints,1997,Head Coach,Head,Head,6.0,10.0,0.0
Tom Clements,New Orleans Saints,1997,Quarterbacks,Offense,Positional,6.0,10.0,0.0
Walt Corey,New Orleans Saints,1997,Defensive Line,Defense,Positional,6.0,10.0,0.0
Jack Del Rio,New Orleans Saints,1997,Strength And Conditioning/Assistant Strength And Conditioning,,Positional,6.0,10.0,0.0
Tom Moore,New Orleans Saints,1997,Running Backs,Offense,Positional,6.0,10.0,0.0
John Pagano,New Orleans Saints,1997,Defensive Assistant,Defense,Positional,6.0,10.0,0.0
Willie Shaw,New Orleans Saints,1997,Defensive Backs,Defense,Positional,6.0,10.0,0.0
Rick Venturi,New Orleans Saints,1997,Assistant Head Coach/Linebackers,Head,Head,6.0,10.0,0.0
Dan Reeves,Atlanta Falcons,1997,Head Coach,Head,Head,7.0,9.0,0.0
Don Blackmon,Atlanta Falcons,1997,Linebackers,Defense,Positional,7.0,9.0,0.0
Jack Burns,Atlanta Falcons,1997,Quarterbacks,Offense,Positional,7.0,9.0,0.0
Pete Mangurian,Atlanta Falcons,1997,Offensive Line/Offensive Quality Control,Offense,Positional,7.0,9.0,0.0
Art Shell,Atlanta Falcons,1997,Offensive Line,Offense,Positional,7.0,9.0,0.0
Dom Capers,Carolina Panthers,1997,Head Coach,Head,Head,7.0,9.0,0.0
Don Breaux,Carolina Panthers,1997,Tight Ends,Offense,Positional,7.0,9.0,0.0
Bill Davis,Carolina Panthers,1997,Outside Linebackers,Defense,Positional,7.0,9.0,0.0
Chick Harris,Carolina Panthers,1997,Running Backs,Offense,Positional,7.0,9.0,0.0
Greg Roman,Carolina Panthers,1997,Strength And Conditioning Assistant/Assistant Coach/Defensive Quality Control,Defense,Positional,7.0,9.0,0.0
John Shoop,Carolina Panthers,1997,Quarterbacks,Offense,Positional,7.0,9.0,0.0
Richard Williamson,Carolina Panthers,1997,Wide Receivers,Offense,Positional,7.0,9.0,0.0
Steve Mariucci,San Francisco 49ers,1997,Head Coach,Head,Head,13.0,3.0,0.0
Greg Knapp,San Francisco 49ers,1997,Offensive Quality Control,Offense,Positional,13.0,3.0,0.0
Bill McPherson,San Francisco 49ers,1997,Defensive Assistant,Defense,Positional,13.0,3.0,0.0
Jim Mora,San Francisco 49ers,1997,Defensive Backs/Secondary,Defense,Positional,13.0,3.0,0.0
Richard Smith,San Francisco 49ers,1997,Linebackers,Defense,Positional,13.0,3.0,0.0
Dennis Green,Minnesota Vikings,1997,Head Coach,Head,Head,9.0,7.0,0.0
Dave Atkins,Minnesota Vikings,1997,Tight Ends,Offense,Positional,9.0,7.0,0.0
Tom Olivadotti,Minnesota Vikings,1997,Inside Linebackers,Defense,Positional,9.0,7.0,0.0
Ray Sherman,Minnesota Vikings,1997,Quarterbacks,Offense,Positional,9.0,7.0,0.0
Mike Tice,Minnesota Vikings,1997,Offensive Line,Offense,Positional,9.0,7.0,0.0
Dave Wannstedt,Chicago Bears,1997,Head Coach,Head,Head,4.0,12.0,0.0
Ron Rivera,Chicago Bears,1997,Defensive Quality Control,Defense,Positional,4.0,12.0,0.0
Tom Rossley,Chicago Bears,1997,Wide Receivers/Tight Ends,Offense,Positional,4.0,12.0,0.0
Greg Schiano,Chicago Bears,1997,Defensive Assistant,Defense,Positional,4.0,12.0,0.0
Eric Studesville,Chicago Bears,1997,Offensive Quality Control,Offense,Positional,4.0,12.0,0.0
Tony Dungy,Tampa Bay Buccaneers,1997,Head Coach,Head,Head,10.0,6.0,0.0
Clyde Christensen,Tampa Bay Buccaneers,1997,Tight Ends Coach/Tight Ends,Offense,Positional,10.0,6.0,0.0
Herm Edwards,Tampa Bay Buccaneers,1997,Defensive Backs/Assistant Head Coach,Head,Head,10.0,6.0,0.0
Chris Foerster,Tampa Bay Buccaneers,1997,Offensive Line,Offense,Positional,10.0,6.0,0.0
Rod Marinelli,Tampa Bay Buccaneers,1997,Defensive Line,Defense,Positional,10.0,6.0,0.0
Lovie Smith,Tampa Bay Buccaneers,1997,Linebackers,Defense,Positional,10.0,6.0,0.0
Mike Holmgren,Green Bay Packers,1997,Head Coach,Head,Head,13.0,3.0,0.0
Jim Lind,Green Bay Packers,1997,Linebackers,Defense,Positional,13.0,3.0,0.0
Andy Reid,Green Bay Packers,1997,Quarterbacks,Offense,Positional,13.0,3.0,0.0
Mike Sherman,Green Bay Packers,1997,Assistant Offensive Line/Tight Ends,Offense,Positional,13.0,3.0,0.0
Vince Tobin,Arizona Cardinals,1997,Head Coach,Head,Head,4.0,12.0,0.0
Geep Chryst,Arizona Cardinals,1997,Quality Control/Tight Ends,Offense,Positional,4.0,12.0,0.0
Larry Marmie,Arizona Cardinals,1997,Defensive Backs,Defense,Positional,4.0,12.0,0.0
Bobby Ross,Detroit Lions,1997,Head Coach,Head,Head,9.0,7.0,0.0
Gary Moeller,Detroit Lions,1997,Linebackers,Defense,Positional,9.0,7.0,0.0
Jerry Sullivan,Detroit Lions,1997,Wide Receivers,Offense,Positional,9.0,7.0,0.0
Marc Trestman,Detroit Lions,1997,Quarterbacks,Offense,Positional,9.0,7.0,0.0
Barry Switzer,Dallas Cowboys,1997,Head Coach,Head,Head,6.0,10.0,0.0
Jim Bates,Dallas Cowboys,1997,Linebackers,Defense,Positional,6.0,10.0,0.0
Clancy Pendergast,Dallas Cowboys,1997,Quality Control,,Positional,6.0,10.0,0.0
Jack Reilly,Dallas Cowboys,1997,Quarterbacks,Offense,Positional,6.0,10.0,0.0
Mike Zimmer,Dallas Cowboys,1997,Defensive Backs Coach,Defense,Positional,6.0,10.0,0.0
Ray Rhodes,Philadelphia Eagles,1997,Head Coach,Head,Head,6.0,9.0,1.0
Bill Callahan,Philadelphia Eagles,1997,Offensive Line,Offense,Positional,6.0,9.0,1.0
Juan Castillo,Philadelphia Eagles,1997,Tight Ends,Offense,Positional,6.0,9.0,1.0
Sean Payton,Philadelphia Eagles,1997,Quarterbacks,Offense,Positional,6.0,9.0,1.0
Mike Trgovac,Philadelphia Eagles,1997,Defensive Line,Defense,Positional,6.0,9.0,1.0
Joe Vitt,Philadelphia Eagles,1997,Linebackers,Defense,Positional,6.0,9.0,1.0
Norv Turner,Washington Redskins,1997,Head Coach,Head,Head,8.0,7.0,1.0
Bobby Jackson,Washington Redskins,1997,Running Backs,Offense,Positional,8.0,7.0,1.0
Dale Lindsey,Washington Redskins,1997,Linebackers,Defense,Positional,8.0,7.0,1.0
Mike Martz,Washington Redskins,1997,Quarterbacks,Offense,Positional,8.0,7.0,1.0
Mike Pope,Washington Redskins,1997,Tight Ends,Offense,Positional,8.0,7.0,1.0
Terry Robiskie,Washington Redskins,1997,Wide Receivers,Offense,Positional,8.0,7.0,1.0
Kevin Gilbride,San Diego Chargers,1997,Head Coach,Head,Head,4.0,12.0,0.0
Nick Nicolau,San Diego Chargers,1997,Assistant Head Coach,Head,Head,4.0,12.0,0.0
Jim Fassel,New York Giants,1997,Head Coach,Head,Head,10.0,5.0,1.0
Dave Brazil,New York Giants,1997,Defensive Quality Control/Linebackers,Defense,Positional,10.0,5.0,1.0
Rod Dowhower,New York Giants,1997,Quarterbacks,Offense,Positional,10.0,5.0,1.0
Jim Skipper,New York Giants,1997,Running Backs,Offense,Positional,10.0,5.0,1.0
Joe Bugel,Oakland Raiders,1997,Head Coach,Head,Head,4.0,12.0,0.0
Dave Adolph,Oakland Raiders,1997,Linebackers,Defense,Positional,4.0,12.0,0.0
Bill Musgrave,Oakland Raiders,1997,Quarterbacks,Offense,Positional,4.0,12.0,0.0
Keith Rowen,Oakland Raiders,1997,Offensive Line,Offense,Positional,4.0,12.0,0.0
Rusty Tillman,Oakland Raiders,1997,Special Teams,Special Teams,Coordinator,4.0,12.0,0.0
Dennis Erickson,Seattle Seahawks,1997,Head Coach,Head,Head,8.0,8.0,0.0
Willy Robinson,Seattle Seahawks,1997,Defensive Backs,Defense,Positional,8.0,8.0,0.0
Clarence Shelmon,Seattle Seahawks,1997,Running Backs,Offense,Positional,8.0,8.0,0.0
Jim Zorn,Seattle Seahawks,1997,Offensive Assistant,Offense,Positional,8.0,8.0,0.0
Mike Shanahan,Denver Broncos,1997,Head Coach,Head,Head,12.0,4.0,0.0
